hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
WAR.AIRTRK	S	*	A	*	------	AIR TRACK	
WAR.AIRTRK.MIL	S	*	A	*	M-----	MILITARY	
WAR.AIRTRK.MIL.FIXD	S	*	A	*	MF----	FIXED WING	
WAR.AIRTRK.MIL.FIXD.BMB	S	*	A	*	MFB---	BOMBER	
WAR.AIRTRK.MIL.FIXD.FTR	S	*	A	*	MFF---	FIGHTER	
WAR.AIRTRK.MIL.FIXD.FTR.INCR	S	*	A	*	MFFI--	INTERCEPTOR	
WAR.AIRTRK.MIL.FIXD.TNE	S	*	A	*	MFT---	TRAINER	
WAR.AIRTRK.MIL.FIXD.ATK	S	*	A	*	MFA---	ATTACK/STRIKE	
WAR.AIRTRK.MIL.FIXD.VSTOL	S	*	A	*	MFL---	VSTOL	
WAR.AIRTRK.MIL.FIXD.TNK	S	*	A	*	MFK---	TANKER	
WAR.AIRTRK.MIL.FIXD.TNK.BOOM	S	*	A	*	MFKB--	TANKER BOOM-ONLY	
WAR.AIRTRK.MIL.FIXD.TNK.DROG	S	*	A	*	MFKD--	TANKER DROGUE-ONLY	
WAR.AIRTRK.MIL.FIXD.CGOALT	S	*	A	*	MFC---	CARGO AIRLIFT (TRANSPORT)	
WAR.AIRTRK.MIL.FIXD.CGOALT.LIT	S	*	A	*	MFCL--	CARGO AIRLIFT (LIGHT)	
WAR.AIRTRK.MIL.FIXD.CGOALT.MDM	S	*	A	*	MFCM--	CARGO AIRLIFT (MEDIUM)	
WAR.AIRTRK.MIL.FIXD.CGOALT.HVY	S	*	A	*	MFCH--	CARGO AIRLIFT (HEAVY)	
WAR.AIRTRK.MIL.FIXD.ECM	S	*	A	*	MFJ---	ELECTRONIC COUNTERMEASURES (ECM/JAMMER)	
WAR.AIRTRK.MIL.FIXD.MEDV	S	*	A	*	MFO---	MEDEVAC	
WAR.AIRTRK.MIL.FIXD.RECON	S	*	A	*	MFR---	RECONNAISSANCE	
WAR.AIRTRK.MIL.FIXD.RECON.ABNEW	S	*	A	*	MFRW--	AIRBORNE EARLY WARNING (AEW)	
WAR.AIRTRK.MIL.FIXD.RECON.ESM	S	*	A	*	MFRZ--	ELECTRONIC SURVEILLANCE MEASURES	
WAR.AIRTRK.MIL.FIXD.RECON.PHG	S	*	A	*	MFRX--	PHOTOGRAPHIC	
WAR.AIRTRK.MIL.FIXD.PAT	S	*	A	*	MFP---	PATROL	
