hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
WAR.GRDTRK	S	*	G	*	------	GROUND TRACK	
WAR.GRDTRK.UNT	S	*	G	*	U-----	UNIT	
WAR.GRDTRK.UNT.CBT	S	*	G	*	UC----	COMBAT	
WAR.GRDTRK.UNT.CBT.ADF	S	*	G	*	UCD---	AIR DEFENSE	
WAR.GRDTRK.UNT.CBT.ADF.SHTR	S	*	G	*	UCDS--	SHORT RANGE	
WAR.GRDTRK.UNT.CBT.ADF.SHTR.CPL	S	*	G	*	UCDSC-	CHAPARRAL	
WAR.GRDTRK.UNT.CBT.ADF.SHTR.STG	S	*	G	*	UCDSS-	STINGER	
WAR.GRDTRK.UNT.CBT.ADF.SHTR.VUL	S	*	G	*	UCDSV-	VULCAN	
WAR.GRDTRK.UNT.CBT.ADF.MSL	S	*	G	*	UCDM--	AIR DEFENSE MISSILE	
WAR.GRDTRK.UNT.CBT.ADF.MSL.LIT	S	*	G	*	UCDML-	AIR DEFENSE MISSILE LIGHT	
WAR.GRDTRK.UNT.CBT.ADF.MSL.LIT.MOT	S	*	G	*	UCDMLA	AIR DEFENSE MISSILE MOTORIZED (AVENGER)	
WAR.GRDTRK.UNT.CBT.ADF.MSL.MDM	S	*	G	*	UCDMM-	AIR DEFENSE MISSILE MEDIUM	
WAR.GRDTRK.UNT.CBT.ADF.MSL.HVY	S	*	G	*	UCDMH-	AIR DEFENSE MISSILE HEAVY	
WAR.GRDTRK.UNT.CBT.ADF.MSL.HMAD	S	*	G	*	UCDH--	H/MAD	
WAR.GRDTRK.UNT.CBT.ADF.MSL.HMAD.HWK	S	*	G	*	UCDHH-	HAWK	
WAR.GRDTRK.UNT.CBT.ADF.MSL.HMAD.PATT	S	*	G	*	UCDHP-	PATRIOT	
WAR.GRDTRK.UNT.CBT.ADF.GUNUNT	S	*	G	*	UCDG--	GUN UNIT	
WAR.GRDTRK.UNT.CBT.ADF.CMPS	S	*	G	*	UCDC--	COMPOSITE	
WAR.GRDTRK.UNT.CBT.ADF.TGTGUT	S	*	G	*	UCDT--	TARGETING UNIT	
WAR.GRDTRK.UNT.CBT.ADF.TMDU	S	*	G	*	UCDO--	THEATER MISSILE DEFENSE UNIT	
WAR.GRDTRK.UNT.CBT.ARM	S	*	G	*	UCA---	ARMOR	
WAR.GRDTRK.UNT.CBT.ARM.TRK	S	*	G	*	UCAT--	ARMOR TRACK	
WAR.GRDTRK.UNT.CBT.ARM.TRK.ABN	S	*	G	*	UCATA-	ARMOR TRACK AIRBORNE	
WAR.GRDTRK.UNT.CBT.ARM.TRK.AMP	S	*	G	*	UCATW-	ARMOR TRACK AMPHIBIOUS	
WAR.GRDTRK.UNT.CBT.ARM.TRK.AMP.RCY	S	*	G	*	UCATWR	ARMOR TRACK AMPHIBIOUS RECOVERY	
WAR.GRDTRK.UNT.CBT.ARM.TRK.LIT	S	*	G	*	UCATL-	ARMOR TRACK, LIGHT	
WAR.GRDTRK.UNT.CBT.ARM.TRK.MDM	S	*	G	*	UCATM-	ARMOR TRACK, MEDIUM	
WAR.GRDTRK.UNT.CBT.ARM.TRK.HVY	S	*	G	*	UCATH-	ARMOR TRACK, HEAVY	
WAR.GRDTRK.UNT.CBT.ARM.TRK.RCY	S	*	G	*	UCATR-	ARMOR TRACK, RECOVERY	
WAR.GRDTRK.UNT.CBT.ARM.WHD	S	*	G	*	UCAW--	ARMOR, WHEELED	
WAR.GRDTRK.UNT.CBT.ARM.WHD.AAST	S	*	G	*	UCAWS-	ARMOR, WHEELED AIR ASSAULT	
WAR.GRDTRK.UNT.CBT.ARM.WHD.ABN	S	*	G	*	UCAWA-	ARMOR, WHEELED AIRBORNE	
WAR.GRDTRK.UNT.CBT.ARM.WHD.AMP	S	*	G	*	UCAWW-	ARMOR, WHEELED AMPHIBIOUS	
WAR.GRDTRK.UNT.CBT.ARM.WHD.AMP.RCY	S	*	G	*	UCAWWR	ARMOR, WHEELED AMPHIBIOUS RECOVERY	
WAR.GRDTRK.UNT.CBT.ARM.WHD.LIT	S	*	G	*	UCAWL-	ARMOR, WHEELED LIGHT	
WAR.GRDTRK.UNT.CBT.ARM.WHD.MDM	S	*	G	*	UCAWM-	ARMOR, WHEELED MEDIUM	
WAR.GRDTRK.UNT.CBT.ARM.WHD.HVY	S	*	G	*	UCAWH-	ARMOR, WHEELED HEAVY	
WAR.GRDTRK.UNT.CBT.ARM.WHD.RCY	S	*	G	*	UCAWR-	ARMOR, WHEELED RECOVERY	
WAR.GRDTRK.UNT.CBT.AARM	S	*	G	*	UCAA--	ANTI ARMOR	
WAR.GRDTRK.UNT.CBT.AARM.DMD	S	*	G	*	UCAAD-	ANTI ARMOR DISMOUNTED	
WAR.GRDTRK.UNT.CBT.AARM.LIT	S	*	G	*	UCAAL-	ANTI ARMOR LIGHT	
WAR.GRDTRK.UNT.CBT.AARM.ABN	S	*	G	*	UCAAM-	ANTI ARMOR AIRBORNE	
WAR.GRDTRK.UNT.CBT.AARM.AAST	S	*	G	*	UCAAS-	ANTI ARMOR AIR ASSAULT	
