hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
WAR.SSUF	S	*	S	*	------	SEA SURFACE TRACK	
WAR.SSUF.CBTT	S	*	S	*	C-----	COMBATANT	
WAR.SSUF.CBTT.LNE	S	*	S	*	CL----	LINE	
WAR.SSUF.CBTT.LNE.CRR	S	*	S	*	CLCV--	CARRIER	
WAR.SSUF.CBTT.LNE.BBS	S	*	S	*	CLBB--	BATTLESHIP	
WAR.SSUF.CBTT.LNE.CRU	S	*	S	*	CLCC--	CRUISER	
WAR.SSUF.CBTT.LNE.DD	S	*	S	*	CLDD--	DESTROYER	
WAR.SSUF.CBTT.LNE.FFR	S	*	S	*	CLFF--	FRIGATE/CORVETTE	
WAR.SSUF.CBTT.LNE.LL	S	*	S	*	CLLL--	LITTORAL COMBATANT	
WAR.SSUF.CBTT.LNE.LL.ASBW	S	*	S	*	CLLLAS	ANTISUBMARINE WARFARE MISSION PACKAGE	
WAR.SSUF.CBTT.LNE.LL.MNEW	S	*	S	*	CLLLMI	MINE WARFARE MISSION PACKAGE	
WAR.SSUF.CBTT.LNE.LL.SUW	S	*	S	*	CLLLSU	SURFACE WARFARE (SUW) MISSION PACKAGE	
WAR.SSUF.CBTT.AMPWS	S	*	S	*	CA----	AMPHIBIOUS WARFARE SHIP	
WAR.SSUF.CBTT.AMPWS.ASTVES	S	*	S	*	CALA--	ASSAULT VESSEL	
WAR.SSUF.CBTT.AMPWS.LNDSHP	S	*	S	*	CALS--	LANDING SHIP	
WAR.SSUF.CBTT.AMPWS.LNDSHP.MDM	S	*	S	*	CALSM-	LANDING SHIP MEDIUM	
WAR.SSUF.CBTT.AMPWS.LNDSHP.TANK	S	*	S	*	CALST-	LANDING SHIP TANK	
WAR.SSUF.CBTT.AMPWS.LNDCRT	S	*	S	*	CALC--	LANDING CRAFT	
WAR.SSUF.CBTT.MNEWV	S	*	S	*	CM----	MINE WARFARE VESSEL	
WAR.SSUF.CBTT.MNEWV.MNELYR	S	*	S	*	CMML--	MINELAYER	
WAR.SSUF.CBTT.MNEWV.MNESWE	S	*	S	*	CMMS--	MINESWEEPER	
WAR.SSUF.CBTT.MNEWV.MNEHNT	S	*	S	*	CMMH--	MINEHUNTER	
WAR.SSUF.CBTT.MNEWV.MCMSUP	S	*	S	*	CMMA--	MCM SUPPORT	
WAR.SSUF.CBTT.PAT	S	*	S	*	CP----	PATROL	
WAR.SSUF.CBTT.PAT.ASBW	S	*	S	*	CPSB--	ANTISUBMARINE WARFARE	
WAR.SSUF.CBTT.PAT.ASUW	S	*	S	*	CPSU--	ANTISURFACE WARFARE	
WAR.SSUF.CBTT.PAT.ASUW.ASMSL	S	*	S	*	CPSUM-	ANTI-SHIP MISSILE PATROL CRAFT	
WAR.SSUF.CBTT.PAT.ASUW.TPD	S	*	S	*	CPSUT-	TORPEDO PATROL CRAFT	
WAR.SSUF.CBTT.PAT.ASUW.GUN	S	*	S	*	CPSUG-	GUN PATROL CRAFT	
WAR.SSUF.CBTT.HOV	S	*	S	*	CH----	HOVERCRAFT	
WAR.SSUF.CBTT.STN	S	*	S	*	S-----	STATION	
WAR.SSUF.CBTT.STN.PKT	S	*	S	*	SP----	PICKET	
WAR.SSUF.CBTT.STN.ASWSHP	S	*	S	*	SA----	ASW SHIP	
WAR.SSUF.CBTT.NAVGRP	S	*	S	*	G-----	NAVY GROUP	
WAR.SSUF.CBTT.NAVGRP.NAVTF	S	*	S	*	GT----	NAVY TASK FORCE	
WAR.SSUF.CBTT.NAVGRP.NAVTG	S	*	S	*	GG----	NAVY TASK GROUP	
WAR.SSUF.CBTT.NAVGRP.NAVTU	S	*	S	*	GU----	NAVY TASK UNIT	
WAR.SSUF.CBTT.NAVGRP.CNY	S	*	S	*	GC----	CONVOY	
WAR.SSUF.CBTT.SUFDCY	S	*	S	*	CD----	SURFACE DECOY	
WAR.SSUF.CBTT.USV	S	*	S	*	CU----	UNMANNED SURFACE VEHICLE	
WAR.SSUF.CBTT.USV.MNECM	S	*	S	*	CUM---	MINE COUNTERMEASURES SURFACE DRONE	
WAR.SSUF.CBTT.USV.ASBW	S	*	S	*	CUS---	ANTISUBMARINE WARFARE SURFACE DRONE	
