hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
WAR.SOFUNT	S	*	F	*	------	SPECIAL OPERATIONS FORCES (SOF) UNIT	
WAR.SOFUNT.AVN	S	*	F	*	A-----	SOF UNIT AVIATION	
WAR.SOFUNT.AVN.FIXD	S	*	F	*	AF----	SOF UNIT FIXED WING	
WAR.SOFUNT.AVN.FIXD.ATK	S	*	F	*	AFA---	SOF UNIT ATTACK	
WAR.SOFUNT.AVN.FIXD.RFE	S	*	F	*	AFK---	SOF UNIT REFUEL	
WAR.SOFUNT.AVN.FIXD.UTY	S	*	F	*	AFU---	SOF UNIT UTILITY	
WAR.SOFUNT.AVN.FIXD.UTY.LIT	S	*	F	*	AFUL--	SOF UNIT UTILITY (LIGHT)	
WAR.SOFUNT.AVN.FIXD.UTY.MDM	S	*	F	*	AFUM--	SOF UNIT UTILITY (MEDIUM)	
WAR.SOFUNT.AVN.FIXD.UTY.HVY	S	*	F	*	AFUH--	SOF UNIT UTILITY (HEAVY)	
WAR.SOFUNT.AVN.VSTOL	S	*	F	*	AV----	SOF UNIT V/STOL	
WAR.SOFUNT.AVN.ROT	S	*	F	*	AH----	SOF UNIT ROTARY WING	
WAR.SOFUNT.AVN.ROT.CSAR	S	*	F	*	AHH---	SOF UNIT COMBAT SEARCH AND RESCUE	
WAR.SOFUNT.AVN.ROT.ATK	S	*	F	*	AHA---	SOF UNIT ATTACK	
WAR.SOFUNT.AVN.ROT.UTY	S	*	F	*	AHU---	SOF UNIT UTILITY	
WAR.SOFUNT.AVN.ROT.UTY.LIT	S	*	F	*	AHUL--	SOF UNIT UTILITY (LIGHT)	
WAR.SOFUNT.AVN.ROT.UTY.MDM	S	*	F	*	AHUM--	SOF UNIT UTILITY (MEDIUM)	
WAR.SOFUNT.AVN.ROT.UTY.HVY	S	*	F	*	AHUH--	SOF UNIT UTILITY (HEAVY)	
WAR.SOFUNT.NAV	S	*	F	*	N-----	SOF UNIT SOF UNIT NAVAL	
WAR.SOFUNT.NAV.SEAL	S	*	F	*	NS----	SOF UNIT SEAL	
WAR.SOFUNT.NAV.UH2DML	S	*	F	*	NU----	SOF UNIT UNDERWATER DEMOLITION TEAM	
WAR.SOFUNT.NAV.SBT	S	*	F	*	NB----	SOF UNIT SPECIAL BOAT	
WAR.SOFUNT.NAV.SSSNR	S	*	F	*	NN----	SOF UNIT SPECIAL SSNR	
WAR.SOFUNT.GRD	S	*	F	*	G-----	SOF UNIT GROUND	
WAR.SOFUNT.GRD.SOF	S	*	F	*	GS----	SOF UNIT SPECIAL FORCES	
WAR.SOFUNT.GRD.RGR	S	*	F	*	GR----	SOF UNIT RANGER	
WAR.SOFUNT.GRD.PSYOP	S	*	F	*	GP----	SOF UNIT PSYCHOLOGICAL OPERATIONS (PSYOP)	
WAR.SOFUNT.GRD.PSYOP.FIXAVN	S	*	F	*	GPA---	SOF UNIT FIXED WING AVIATION	
WAR.SOFUNT.GRD.CVLAFF	S	*	F	*	GC----	SOF UNIT CIVIL AFFAIRS	
WAR.SOFUNT.SUP	S	*	F	*	B-----	SOF UNIT SUPPORT	
