hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
WAR.SBSUF	S	*	U	*	------	SUBSURFACE TRACK	
WAR.SBSUF.SUB	S	*	U	*	S-----	SUBMARINE	
WAR.SBSUF.SUB.SURF	S	*	U	*	SF----	SURFACED SUBMARINE	
WAR.SBSUF.SUB.NPRN	S	*	U	*	SN----	NUCLEAR PROPULSION	
WAR.SBSUF.SUB.NPRN.SURF	S	*	U	*	SNF---	SURFACED NUCLEAR PROPULSION SUBMARINE	
WAR.SBSUF.SUB.NPRN.ATK	S	*	U	*	SNA---	ATTACK SUBMARINE (SSN)	
WAR.SBSUF.SUB.NPRN.MSL	S	*	U	*	SNM---	MISSILE SUBMARINE (TYPE UNKNOWN)	
WAR.SBSUF.SUB.NPRN.GDD	S	*	U	*	SNG---	GUIDED MISSILE SUBMARINE (SSGN)	
WAR.SBSUF.SUB.NPRN.BLST	S	*	U	*	SNB---	BALLISTIC MISSILE SUBMARINE (SSBN)	
WAR.SBSUF.SUB.CNVPRN	S	*	U	*	SC----	CONVENTIONAL PROPULSION	
WAR.SBSUF.SUB.CNVPRN.SURF	S	*	U	*	SCF---	SURFACED CONVENTIONAL PROPULSION SUBMARINE	
WAR.SBSUF.SUB.CNVPRN.ATK	S	*	U	*	SCA---	ATTACK SUBMARINE (SS)	
WAR.SBSUF.SUB.CNVPRN.MSL	S	*	U	*	SCM---	MISSILE SUBMARINE (TYPE UNKNOWN)	
WAR.SBSUF.SUB.CNVPRN.GDD	S	*	U	*	SCG---	GUIDED MISSILE SUBMARINE (SSG)	
WAR.SBSUF.SUB.CNVPRN.BLST	S	*	U	*	SCB---	BALLISTIC MISSILE SUBMARINE (SSB)	
WAR.SBSUF.SUB.OTH	S	*	U	*	SO----	OTHER SUBMERSIBLE	
WAR.SBSUF.SUB.OTH.SURF	S	*	U	*	SOF---	SURFACED OTHER SUBMERSIBLE	
WAR.SBSUF.SUB.STN	S	*	U	*	SS----	STATION	
WAR.SBSUF.SUB.STN.ASWSUB	S	*	U	*	SSA---	ASW SUBMARINE	
WAR.SBSUF.SUB.UUV	S	*	U	*	SU----	UNMANNED UNDERWATER VEHICLE (UUV)	
WAR.SBSUF.SUB.UUV.MNEW	S	*	U	*	SUM---	MINE WARFARE SUBSURFACE DRONE	
WAR.SBSUF.SUB.UUV.ASBW	S	*	U	*	SUS---	ANTISUBMARINE WARFARE SUBSURFACE DRONE	
WAR.SBSUF.SUB.UUV.ASUW	S	*	U	*	SUN---	ANTISURFACE WARFARE SUBSURFACE DRONE	
WAR.SBSUF.UH2WPN	S	*	U	*	W-----	UNDERWATER WEAPON	
WAR.SBSUF.UH2WPN.TPD	S	*	U	*	WT----	TORPEDO	
WAR.SBSUF.UH2WPN.SMNE	S	*	U	*	WM----	SEA MINE	
WAR.SBSUF.UH2WPN.SMNE.DLT	S	*	U	*	WMD---	SEA MINE DEALT	
WAR.SBSUF.UH2WPN.SMNE.SMG	S	*	U	*	WMG---	SEA MINE (GROUND)	
WAR.SBSUF.UH2WPN.SMNE.SMG.DLT	S	*	U	*	WMGD--	SEA MINE (GROUND) DEALT	
WAR.SBSUF.UH2WPN.SMNE.SMM	S	*	U	*	WMM---	SEA MINE (MOORED)	
WAR.SBSUF.UH2WPN.SMNE.SMM.DLT	S	*	U	*	WMMD--	SEA MINE (MOORED) DEALT	
WAR.SBSUF.UH2WPN.SMNE.SMF	S	*	U	*	WMF---	SEA MINE (FLOATING)	
WAR.SBSUF.UH2WPN.SMNE.SMF.DLT	S	*	U	*	WMFD--	SEA MINE (FLOATING) DEALT	
WAR.SBSUF.UH2WPN.SMNE.SMOP	S	*	U	*	WMO---	SEA MINE (OTHER POSITION)	
WAR.SBSUF.UH2WPN.SMNE.SMOP.DLT	S	*	U	*	WMOD--	SEA MINE (OTHER POSITION) DEALT	
WAR.SBSUF.UH2DCY	S	*	U	*	WD----	UNDERWATER DECOY	
WAR.SBSUF.UH2DCY.SMDCY	S	*	U	*	WDM---	SEA MINE DECOY	
WAR.SBSUF.NSUB	S	*	U	*	N-----	NON-SUBMARINE	N/A
WAR.SBSUF.NSUB.DVR	S	*	U	*	ND----	DIVER	
