geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
	TACGRP	G	*	-	-------	TACTICAL GRAPHICS		
	TACGRP.TSK	G	*	T	*	------	TASKS	N/A
	TACGRP.TSK.BLK	G	*	T	*	B-----	BLOCK	
	TACGRP.TSK.BRH	G	*	T	*	H-----	BREACH	
	TACGRP.TSK.BYS	G	*	T	*	Y-----	BYPASS	
	TACGRP.TSK.CNZ	G	*	T	*	C-----	CANALIZE	
	TACGRP.TSK.CLR	G	*	T	*	X-----	CLEAR	
	TACGRP.TSK.CNT	G	*	T	*	J-----	CONTAIN	
	TACGRP.TSK.CATK	G	*	T	*	K-----	COUNTERATTACK (CATK)	
	TACGRP.TSK.CATK.CATKF	G	*	T	*	KF----	COUNTERATTACK BY FIRE	
	TACGRP.TSK.DLY	G	*	T	*	L-----	DELAY	
POINT	TACGRP.TSK.DSTY	G	*	T	*	D-----	DESTROY	
	TACGRP.TSK.DRT	G	*	T	*	T-----	DISRUPT	
	TACGRP.TSK.FIX	G	*	T	*	F-----	FIX	
	TACGRP.TSK.FLWASS	G	*	T	*	A-----	FOLLOW AND ASSUME	
	TACGRP.TSK.FLWASS.FLWSUP	G	*	T	*	AS----	FOLLOW AND SUPPORT	
POINT	TACGRP.TSK.ITDT	G	*	T	*	I-----	INTERDICT	
	TACGRP.TSK.ISL	G	*	T	*	E-----	ISOLATE	
POINT	TACGRP.TSK.NEUT	G	*	T	*	N-----	NEUTRALIZE	
	TACGRP.TSK.OCC	G	*	T	*	O-----	OCCUPY	
	TACGRP.TSK.PNE	G	*	T	*	P-----	PENETRATE	
	TACGRP.TSK.RIP	G	*	T	*	R-----	RELIEF IN PLACE (RIP)	
	TACGRP.TSK.RTN	G	*	T	*	Q-----	RETAIN	
	TACGRP.TSK.RTM	G	*	T	*	M-----	RETIREMENT	
	TACGRP.TSK.SCE	G	*	T	*	S-----	SECURE	
	TACGRP.TSK.SEC	G	-	T	*	U-----	SECURITY	N/A
	TACGRP.TSK.SEC.SCN	G	*	T	*	US----	SCREEN	
	TACGRP.TSK.SEC.GUD	G	*	T	*	UG----	GUARD	
	TACGRP.TSK.SEC.COV	G	*	T	*	UC----	COVER	
	TACGRP.TSK.SZE	G	*	T	*	Z-----	SEIZE	
	TACGRP.TSK.WDR	G	*	T	*	W-----	WITHDRAW	
	TACGRP.TSK.WDR.WDRUP	G	*	T	*	WP----	WITHDRAW UNDER PRESSURE	
	TACGRP.C2GM	G	*	G	*	------	COMMAND AND CONTROL AND GENERAL MANEUVER	N/A
	TACGRP.C2GM.GNL	G	*	G	*	G-----	GENERAL	N/A
	TACGRP.C2GM.GNL.PNT	G	*	G	*	GP----	POINTS	N/A
	TACGRP.C2GM.GNL.PNT.USW	G	*	G	*	GPU---	UNDER SEA WARFARE	N/A
	TACGRP.C2GM.GNL.PNT.USW.UH2	G	*	G	*	GPUU--	UNDERWATER	N/A
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.DTM	G	*	G	*	GPUUD-	DATUM	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.BCON	G	*	G	*	GPUUB-	BRIEF CONTACT	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.LCON	G	*	G	*	GPUUL-	LOST CONTACT	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.SNK	G	*	G	*	GPUUS-	SINKER	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY	G	*	G	*	GPUY--	SONOBUOY	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.PTNCTR	G	*	G	*	GPUYP-	PATTERN CENTER	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.DIFAR	G	*	G	*	GPUYD-	DIRECTIONAL FREQUENCY ANALYZING AND RECORDING (DIFAR)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.LOFAR	G	*	G	*	GPUYL-	LOW FREQUENCY ANALYZING AND RECORDING (LOFAR)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.CASS	G	*	G	*	GPUYC-	COMMAND ACTIVE SONOBUOY SYSTEM (CASS)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.DICASS	G	*	G	*	GPUYS-	DIRECTIONAL COMMAND ACTIVE SONOBUOY SYSTEM (DICASS)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.BT	G	*	G	*	GPUYB-	BATHYTHERMOGRAPH TRANSMITTING (BT)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.ANM	G	*	G	*	GPUYA-	ANM	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.VLAD	G	*	G	*	GPUYV-	VERTICAL LINE ARRAY DIFAR (VLAD)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.ATAC	G	*	G	*	GPUYT-	ATAC	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.RO	G	*	G	*	GPUYR-	RANGE ONLY (RO)	
POINT	TACGRP.C2GM.GNL.PNT.USW.SNBY.KGP	G	*	G	*	GPUYK-	KINGPIN	
POINT	TACGRP.C2GM.GNL.PNT.USW.SRH	G	*	G	*	GPUS--	SEARCH	
POINT	TACGRP.C2GM.GNL.PNT.USW.SRH.ARA	G	*	G	*	GPUSA-	SEARCH AREA	
POINT	TACGRP.C2GM.GNL.PNT.USW.SRH.DIPPSN	G	*	G	*	GPUSD-	DIP POSITION	
POINT	TACGRP.C2GM.GNL.PNT.USW.SRH.CTR	G	*	G	*	GPUSC-	SEARCH CENTER	
	TACGRP.C2GM.GNL.PNT.REFPNT	G	*	G	*	GPR---	REFERENCE POINT	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.SPLPNT	G	*	G	*	GPRS--	SPECIAL POINT	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.NAVREF	G	*	G	*	GPRN--	NAV REFERENCE	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.DLRP	G	*	G	*	GPRD--	DLRP	
POINT	TACGRP.C2GM.GNL.PNT.REFPNT.PNTINR	G	*	G	*	GPRI--	POINT OF INTEREST	
	TACGRP.C2GM.GNL.PNT.WPN	G	*	G	*	GPW---	WEAPON	N/A	
POINT	TACGRP.C2GM.GNL.PNT.WPN.AIMPNT	G	*	G	*	GPWA--	AIM POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.DRPPNT	G	*	G	*	GPWD--	DROP POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.ENTPNT	G	*	G	*	GPWE--	ENTRY POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.GRDZRO	G	*	G	*	GPWG--	GROUND ZERO	
POINT	TACGRP.C2GM.GNL.PNT.WPN.MSLPNT	G	*	G	*	GPWM--	MSL DETECT POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.IMTPNT	G	*	G	*	GPWI--	IMPACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.WPN.PIPNT	G	*	G	*	GPWP--	PREDICTED IMPACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.FRMN	G	*	G	*	GPF---	FORMATION	
POINT	TACGRP.C2GM.GNL.PNT.HBR	G	*	G	*	GPH---	HARBOR (GENERAL)	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTQ	G	*	G	*	GPHQ--	POINT Q	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTA	G	*	G	*	GPHA--	POINT A	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTY	G	*	G	*	GPHY--	POINT Y	
POINT	TACGRP.C2GM.GNL.PNT.HBR.PNTX	G	*	G	*	GPHX--	POINT X	
POINT	TACGRP.C2GM.GNL.PNT.RTE	G	*	G	*	GPO---	ROUTE	
POINT	TACGRP.C2GM.GNL.PNT.RTE.RDV	G	*	G	*	GPOZ--	RENDEZVOUS	
POINT	TACGRP.C2GM.GNL.PNT.RTE.DVSN	G	*	G	*	GPOD--	DIVERSIONS	
POINT	TACGRP.C2GM.GNL.PNT.RTE.WAP	G	*	G	*	GPOW--	WAYPOINT	
POINT	TACGRP.C2GM.GNL.PNT.RTE.PIM	G	*	G	*	GPOP--	PIM	
POINT	TACGRP.C2GM.GNL.PNT.RTE.PNTR	G	*	G	*	GPOR--	POINT R	
	TACGRP.C2GM.GNL.PNT.ACTL	G	*	G	*	GPA---	AIR CONTROL	N/A
POINT	TACGRP.C2GM.GNL.PNT.ACTL.CAP	G	*	G	*	GPAP--	COMBAT AIR PATROL (CAP)	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ABNEW	G	*	G	*	GPAW--	AIRBORNE EARLY WARNING (AEW)	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TCN	G	*	G	*	GPAT--	TACAN	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TAK	G	*	G	*	GPAK--	TANKING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ASBWF	G	*	G	*	GPAA--	ANTISUBMARINE WARFARE, FIXED WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.ASBWR	G	*	G	*	GPAH--	ANTISUBMARINE WARFARE, ROTARY WING	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.TMC	G	*	G	*	GPAO--	TOMCAT	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.RSC	G	*	G	*	GPAR--	RESCUE	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.RPH	G	*	G	*	GPAL--	REPLENISH	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.MRSH	G	*	G	*	GPAM--	MARSHALL	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.SKEIP	G	*	G	*	GPAS--	STRIKE IP	
POINT	TACGRP.C2GM.GNL.PNT.ACTL.CRDRTB	G	*	G	*	GPAC--	CORRIDOR TAB	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT	G	*	G	*	GPP---	ACTION POINTS (GENERAL)	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CHKPNT	G	*	G	*	GPPK--	CHECK POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CONPNT	G	*	G	*	GPPC--	CONTACT POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.CRDPNT	G	*	G	*	GPPO--	COORDINATION POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.DCNPNT	G	*	G	*	GPPD--	DECISION POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.LNKUPT	G	*	G	*	GPPL--	LINKUP POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.PSSPNT	G	*	G	*	GPPP--	PASSAGE POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.RAYPNT	G	*	G	*	GPPR--	RALLY POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.RELPNT	G	*	G	*	GPPE--	RELEASE POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.STRPNT	G	*	G	*	GPPS--	START POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.AMNPNT	G	*	G	*	GPPA--	AMNESTY POINT	
POINT	TACGRP.C2GM.GNL.PNT.ACTPNT.WAP	G	*	G	*	GPPW--	WAYPOINT	
	TACGRP.C2GM.GNL.LNE	G	*	G	*	GL----	LINES	N/A
	TACGRP.C2GM.GNL.LNE.BNDS	G	*	G	*	GLB---	BOUNDARIES	
	TACGRP.C2GM.GNL.LNE.FLOT	G	*	G	*	GLF---	FORWARD LINE OF OWN TROOPS (FLOT)	
	TACGRP.C2GM.GNL.LNE.LOC	G	*	G	*	GLC---	LINE OF CONTACT	
	TACGRP.C2GM.GNL.LNE.PHELNE	G	*	G	*	GLP---	PHASE LINE	
	TACGRP.C2GM.GNL.LNE.LITLNE	G	*	G	*	GLL---	LIGHT LINE	
	TACGRP.C2GM.GNL.ARS	G	*	G	*	GA----	AREAS	N/A
	TACGRP.C2GM.GNL.ARS.GENARA	G	*	G	*	GAG---	GENERAL AREA	
	TACGRP.C2GM.GNL.ARS.ABYARA	G	*	G	*	GAA---	ASSEMBLY AREA	
	TACGRP.C2GM.GNL.ARS.EMTARA	G	*	G	*	GAE---	ENGAGEMENT AREA	
	TACGRP.C2GM.GNL.ARS.FTFDAR	G	*	G	*	GAF---	FORTIFIED AREA	
	TACGRP.C2GM.GNL.ARS.DRPZ	G	*	G	*	GAD---	DROP ZONE	
	TACGRP.C2GM.GNL.ARS.EZ	G	*	G	*	GAX---	EXTRACTION ZONE (EZ)	
	TACGRP.C2GM.GNL.ARS.LZ	G	*	G	*	GAL---	LANDING ZONE (LZ)	
	TACGRP.C2GM.GNL.ARS.PZ	G	*	G	*	GAP---	PICKUP ZONE (PZ)	
	TACGRP.C2GM.GNL.ARS.SRHARA	G	*	G	*	GAS---	SEARCH AREA/RECONNAISSANCE AREA	
	TACGRP.C2GM.GNL.ARS.LAARA	G	*	G	*	GAY---	LIMITED ACCESS AREA	
	TACGRP.C2GM.GNL.ARS.AIRFZ	G	*	G	*	GAZ---	AIRFIELD ZONE	
	TACGRP.C2GM.AVN	G	*	G	*	A-----	AVIATION	N/A
	TACGRP.C2GM.AVN.PNT	G	*	G	*	AP----	POINTS	N/A
POINT	TACGRP.C2GM.AVN.PNT.ACP	G	*	G	*	APP---	AIR CONTROL POINT (ACP)	
POINT	TACGRP.C2GM.AVN.PNT.COMMCP	G	*	G	*	APC---	COMMUNICATIONS CHECKPOINT (CCP)	
POINT	TACGRP.C2GM.AVN.PNT.PUP	G	*	G	*	APU---	PULL-UP POINT (PUP)	
POINT	TACGRP.C2GM.AVN.PNT.DAPP	G	*	G	*	APD---	DOWNED AIRCREW PICKUP POINT	
	TACGRP.C2GM.AVN.LNE	G	*	G	*	AL----	LINES	N/A
	TACGRP.C2GM.AVN.LNE.ACDR	G	*	G	*	ALC---	AIR CORRIDOR	
	TACGRP.C2GM.AVN.LNE.MRR	G	*	G	*	ALM---	MINIMUM RISK ROUTE (MRR)	
	TACGRP.C2GM.AVN.LNE.SAAFR	G	*	G	*	ALS---	STANDARD-USE ARMY AIRCRAFT FLIGHT ROUTE (SAAFR)	
	TACGRP.C2GM.AVN.LNE.UAVR	G	*	G	*	ALU---	UNMANNED AERIAL VEHICLE (UAV) ROUTE	
	TACGRP.C2GM.AVN.LNE.LLTR	G	*	G	*	ALL---	LOW LEVEL TRANSIT ROUTE (LLTR)	
	TACGRP.C2GM.AVN.ARS	G	*	G	*	AA----	AREAS	N/A
	TACGRP.C2GM.AVN.ARS.ROZ	G	*	G	*	AAR---	RESTRICTED OPERATIONS ZONE (ROZ)	
	TACGRP.C2GM.AVN.ARS.FAADEZ	G	*	G	*	AAF---	FORWARD AREA AIR DEFENSE ZONE (FAADEZ)	
	TACGRP.C2GM.AVN.ARS.HIDACZ	G	*	G	*	AAH---	HIGH DENSITY AIRSPACE CONTROL ZONE (HIDACZ)	
	TACGRP.C2GM.AVN.ARS.MEZ	G	*	G	*	AAM---	MISSILE ENGAGEMENT ZONE (MEZ)	
	TACGRP.C2GM.AVN.ARS.MEZ.LAMEZ	G	*	G	*	AAML--	LOW ALTITUDE MEZ	
	TACGRP.C2GM.AVN.ARS.MEZ.HAMEZ	G	*	G	*	AAMH--	HIGH ALTITUDE MEZ	
	TACGRP.C2GM.AVN.ARS.WFZ	G	*	G	*	AAW---	WEAPONS FREE ZONE	
	TACGRP.C2GM.DCPN	G	*	G	*	P-----	DECEPTION	N/A
	TACGRP.C2GM.DCPN.DMY	G	*	G	*	PD----	DUMMY (DECEPTION/DECOY)	
	TACGRP.C2GM.DCPN.AAFF	G	*	G	*	PA----	AXIS OF ADVANCE FOR FEINT	
	TACGRP.C2GM.DCPN.DAFF	G	*	G	*	PF----	DIRECTION OF ATTACK FOR FEINT	
	TACGRP.C2GM.DCPN.DMA	G	*	G	*	PM----	DECOY MINED AREA	
	TACGRP.C2GM.DCPN.DMAF	G	*	G	*	PY----	DECOY MINED AREA, FENCED	
	TACGRP.C2GM.DCPN.DMYMS	G	*	G	*	PN----	DUMMY MINEFIELD (STATIC)	
	TACGRP.C2GM.DCPN.DMYMD	G	*	G	*	PC----	DUMMY MINEFIELD (DYNAMIC)	
	TACGRP.C2GM.DEF	G	*	G	*	D-----	DEFENSE	N/A
	TACGRP.C2GM.DEF.PNT	G	*	G	*	DP----	POINTS	N/A
POINT	TACGRP.C2GM.DEF.PNT.TGTREF	G	*	G	*	DPT---	TARGET REFERENCE POINT (TRP)	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST	G	*	G	*	DPO---	OBSERVATION POST/OUTPOST	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.CBTPST	G	*	G	*	DPOC--	COMBAT OUTPOST	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.RECON	G	*	G	*	DPOR--	OBSERVATION POST OCCUPIED BY DISMOUNTED SCOUTS OR RECONNAISSANCE	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.FWDOP	G	*	G	*	DPOF--	FORWARD OBSERVER POSITION	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.SOP	G	*	G	*	DPOS--	SENSOR OUTPOST/LISTENING POST (OP/LP)	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.NBCOP	G	*	G	*	DPON--	NBC OBSERVATION POST (DISMOUNTED)	
	TACGRP.C2GM.DEF.LNE	G	*	G	*	DL----	LINES	N/A
	TACGRP.C2GM.DEF.LNE.FEBA	G	*	G	*	DLF---	FORWARD EDGE OF BATTLE AREA (FEBA)	
	TACGRP.C2GM.DEF.LNE.PDF	G	*	G	*	DLP---	PRINCIPAL DIRECTION OF FIRE (PDF)	
	TACGRP.C2GM.DEF.ARS	G	*	G	*	DA----	AREAS	N/A
	TACGRP.C2GM.DEF.ARS.BTLPSN	G	*	G	*	DAB---	BATTLE POSITION	
	TACGRP.C2GM.DEF.ARS.BTLPSN.PBNO	G	*	G	*	DABP--	PREPARED BUT NOT OCCUPIED	
	TACGRP.C2GM.DEF.ARS.EMTARA	G	*	G	*	DAE---	ENGAGEMENT AREA	
	TACGRP.C2GM.OFF	G	*	G	*	O-----	OFFENSE	N/A
	TACGRP.C2GM.OFF.PNT	G	*	G	*	OP----	POINTS	N/A
POINT	TACGRP.C2GM.OFF.PNT.PNTD	G	*	G	*	OPP---	POINT OF DEPARTURE	
	TACGRP.C2GM.OFF.LNE	G	*	G	*	OL----	LINES	N/A
	TACGRP.C2GM.OFF.LNE.AXSADV	G	*	G	*	OLA---	AXIS OF ADVANCE	N/A
	TACGRP.C2GM.OFF.LNE.AXSADV.AVN	G	*	G	*	OLAV--	AVIATION	
	TACGRP.C2GM.OFF.LNE.AXSADV.ABN	G	*	G	*	OLAA--	AIRBORNE	
	TACGRP.C2GM.OFF.LNE.AXSADV.ATK	G	*	G	*	OLAR--	ATTACK, ROTARY WING	
	TACGRP.C2GM.OFF.LNE.AXSADV.GRD	G	*	G	*	OLAG--	GROUND	N/A
	TACGRP.C2GM.OFF.LNE.AXSADV.GRD.MANATK	G	*	G	*	OLAGM-	MAIN ATTACK	
	TACGRP.C2GM.OFF.LNE.AXSADV.GRD.SUPATK	G	*	G	*	OLAGS-	SUPPORTING ATTACK	
	TACGRP.C2GM.OFF.LNE.DIRATK	G	*	G	*	OLK---	DIRECTION OF ATTACK	N/A
	TACGRP.C2GM.OFF.LNE.DIRATK.AVN	G	*	G	*	OLKA--	AVIATION	
	TACGRP.C2GM.OFF.LNE.DIRATK.GRD	G	*	G	*	OLKG--	GROUND	N/A
	TACGRP.C2GM.OFF.LNE.DIRATK.GRD.MANATK	G	*	G	*	OLKGM-	MAIN ATTACK	
	TACGRP.C2GM.OFF.LNE.DIRATK.GRD.SUPATK	G	*	G	*	OLKGS-	SUPPORTING ATTACK	
	TACGRP.C2GM.OFF.LNE.FCL	G	*	G	*	OLF---	FINAL COORDINATION LINE	
	TACGRP.C2GM.OFF.LNE.INFNLE	G	*	G	*	OLI---	INFILTRATION LANE	
	TACGRP.C2GM.OFF.LNE.LMTADV	G	*	G	*	OLL---	LIMIT OF ADVANCE	
	TACGRP.C2GM.OFF.LNE.LD	G	*	G	*	OLT---	LINE OF DEPARTURE	
	TACGRP.C2GM.OFF.LNE.LDLC	G	*	G	*	OLC---	LINE OF DEPARTURE/LINE OF CONTACT (LD/LC)	
	TACGRP.C2GM.OFF.LNE.PLD	G	*	G	*	OLP---	PROBABLE LINE OF DEPLOYMENT (PLD)	
	TACGRP.C2GM.OFF.ARS	G	*	G	*	OA----	AREAS	N/A
	TACGRP.C2GM.OFF.ARS.ASTPSN	G	*	G	*	OAA---	ASSAULT POSITION	
