hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
AIRTRK 	S	*	A	*	------	AIR TRACK	
AIRTRK.MIL 	S	*	A	*	M-----	MILITARY	
AIRTRK.MIL.FIXD 	S	*	A	*	MF----	FIXED WING	
AIRTRK.MIL.FIXD.BMB 	S	*	A	*	MFB---	BOMBER	
AIRTRK.MIL.FIXD.FTR 	S	*	A	*	MFF---	FIGHTER	
AIRTRK.MIL.FIXD.FTR.INCR 	S	*	A	*	MFFI--	INTERCEPTOR	
AIRTRK.MIL.FIXD.TNE 	S	*	A	*	MFT---	TRAINER	
AIRTRK.MIL.FIXD.ATK 	S	*	A	*	MFA---	ATTACK/STRIKE	
AIRTRK.MIL.FIXD.VSTOL 	S	*	A	*	MFL---	V/STOL	
AIRTRK.MIL.FIXD.TNK 	S	*	A	*	MFK---	TANKER	
AIRTRK.MIL.FIXD.TNK.BOOM 	S	*	A	*	MFKB--	TANKER BOOM-ONLY	
AIRTRK.MIL.FIXD.TNK.DROG 	S	*	A	*	MFKD--	TANKER DROGUE-ONLY	
AIRTRK.MIL.FIXD.CGOALT 	S	*	A	*	MFC---	CARGO AIRLIFT (TRANSPORT)	
AIRTRK.MIL.FIXD.CGOALT.LIT 	S	*	A	*	MFCL--	CARGO AIRLIFT (LIGHT)	
AIRTRK.MIL.FIXD.CGOALT.MDM 	S	*	A	*	MFCM--	CARGO AIRLIFT (MEDIUM)	
AIRTRK.MIL.FIXD.CGOALT.HVY 	S	*	A	*	MFCH--	CARGO AIRLIFT (HEAVY)	
AIRTRK.MIL.FIXD.ECM 	S	*	A	*	MFJ---	ELECTRONIC COUNTERMEASURES (ECM/JAMMER)	
AIRTRK.MIL.FIXD.MEDV 	S	*	A	*	MFO---	MEDICAL EVACUATION (MEDEVAC)	
AIRTRK.MIL.FIXD.RECON 	S	*	A	*	MFR---	RECONNAISSANCE	
AIRTRK.MIL.FIXD.RECON.ABNEW 	S	*	A	*	MFRW--	AIRBORNE EARLY WARNING (AEW)	
AIRTRK.MIL.FIXD.RECON.ESM 	S	*	A	*	MFRZ--	ELECTRONIC SURVEILLANCE MEASURES	
