hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.EQT 	S	*	G	*	E-----	GROUND TRACK EQUIPMENT	
GRDTRK.EQT.WPN 	S	*	G	*	EW----	WEAPON	N/A
GRDTRK.EQT.WPN.MSLL 	S	*	G	*	EWM---	MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.ADFAD 	S	*	G	*	EWMA--	AIR DEFENSE (AD) MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.ADFAD.SHTR 	S	*	G	*	EWMAS-	SHORT RANGE AD MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.ADFAD.SHTR.TLAR 	S	*	G	*	EWMASR	TRANSPORTER LAUNCHER AND RADAR (TLAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.SHTR.TELAR 	S	*	G	*	EWMASE	TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.INTMR 	S	*	G	*	EWMAI-	INTERMEDIATE RANGE AD MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.ADFAD.INTMR.TLAR 	S	*	G	*	EWMAIR	TRANSPORTER LAUNCHER AND RADAR (TLAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.INTMR.TELAR 	S	*	G	*	EWMAIE	TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.LNGR 	S	*	G	*	EWMAL-	LONG RANGE AD MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.ADFAD.LNGR.TLAR 	S	*	G	*	EWMALR	TRANSPORTER LAUNCHER AND RADAR (TLAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.LNGR.TELAR 	S	*	G	*	EWMALE	TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.THT 	S	*	G	*	EWMAT-	AD MISSILE LAUNCHER THEATER	
GRDTRK.EQT.WPN.MSLL.ADFAD.THT.TLAR 	S	*	G	*	EWMATR	TRANSPORTER LAUNCHER AND RADAR (TLAR)	
GRDTRK.EQT.WPN.MSLL.ADFAD.THT.TELAR 	S	*	G	*	EWMATE	TRANSPORTER ERECTOR LAUNCHER AND RADAR (TELAR)	
GRDTRK.EQT.WPN.MSLL.SUF 	S	*	G	*	EWMS--	SURF-SURF (SS) MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.SUF.SHTR 	S	*	G	*	EWMSS-	SHORT RANGE SS MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.SUF.INTMR 	S	*	G	*	EWMSI-	INTERMEDIATE RANGE SS MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.SUF.LNGR 	S	*	G	*	EWMSL-	LONG RANGE SS MISSILE LAUNCHER	
GRDTRK.EQT.WPN.MSLL.AT 	S	*	G	*	EWMT--	MISSILE LAUNCHER ANTITANK (AT)	
GRDTRK.EQT.WPN.MSLL.AT.LIT 	S	*	G	*	EWMTL-	MISSILE LAUNCHER AT LIGHT	
GRDTRK.EQT.WPN.MSLL.AT.MDM 	S	*	G	*	EWMTM-	MISSILE LAUNCHER AT MEDIUM	
GRDTRK.EQT.WPN.MSLL.AT.HVY 	S	*	G	*	EWMTH-	MISSILE LAUNCHER AT HEAVY	
GRDTRK.EQT.WPN.SRL 	S	*	G	*	EWS---	SINGLE ROCKET LAUNCHER	
GRDTRK.EQT.WPN.SRL.LIT 	S	*	G	*	EWSL--	SINGLE ROCKET LAUNCHER LIGHT	
GRDTRK.EQT.WPN.SRL.MDM 	S	*	G	*	EWSM--	SINGLE ROCKET LAUNCHER MEDIUM	
GRDTRK.EQT.WPN.SRL.HVY 	S	*	G	*	EWSH--	SINGLE ROCKET LAUNCHER HEAVY	
GRDTRK.EQT.WPN.MRL 	S	*	G	*	EWX---	MULTIPLE ROCKET LAUNCHER	
GRDTRK.EQT.WPN.MRL.LIT 	S	*	G	*	EWXL--	MULTIPLE ROCKET LAUNCHER LIGHT	
GRDTRK.EQT.WPN.MRL.MDM 	S	*	G	*	EWXM--	MULTIPLE ROCKET LAUNCHER MEDIUM	
GRDTRK.EQT.WPN.MRL.HVY 	S	*	G	*	EWXH--	MULTIPLE ROCKET LAUNCHER HEAVY	
GRDTRK.EQT.WPN.ATRL 	S	*	G	*	EWT---	ANTITANK ROCKET LAUNCHER	
GRDTRK.EQT.WPN.ATRL.LIT 	S	*	G	*	EWTL--	ANTITANK ROCKET LAUNCHER LIGHT	
GRDTRK.EQT.WPN.ATRL.MDM 	S	*	G	*	EWTM--	ANTITANK ROCKET LAUNCHER MEDIUM	
GRDTRK.EQT.WPN.ATRL.HVY 	S	*	G	*	EWTH--	ANTITANK ROCKET LAUNCHER HEAVY	
GRDTRK.EQT.WPN.RIFWPN 	S	*	G	*	EWR---	RIFLE/AUTOMATIC WEAPON	
GRDTRK.EQT.WPN.RIFWPN.RIF 	S	*	G	*	EWRR--	RIFLE	
GRDTRK.EQT.WPN.RIFWPN.LMG 	S	*	G	*	EWRL--	LIGHT MACHINE GUN	
