hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.INS 	S	*	G	*	I-----	INSTALLATION	
GRDTRK.INS.RMP 	S	*	G	*	IR----	RAW MATERIAL PRODUCTION/STORAGE	
GRDTRK.INS.RMP.MNE 	S	*	G	*	IRM---	MINE	
GRDTRK.INS.RMP.PGO 	S	*	G	*	IRP---	PETROLEUM/GAS/OIL	
GRDTRK.INS.RMP.CBRN 	S	*	G	*	IRN---	CBRN	
GRDTRK.INS.RMP.CBRN.BIO 	S	*	G	*	IRNB--	BIOLOGICAL	
GRDTRK.INS.RMP.CBRN.CML 	S	*	G	*	IRNC--	CHEMICAL	
GRDTRK.INS.RMP.CBRN.NUC 	S	*	G	*	IRNN--	NUCLEAR	
GRDTRK.INS.PF 	S	*	G	*	IP----	PROCESSING FACILITY	
GRDTRK.INS.PF.DECON 	S	*	G	*	IPD---	DECONTAMINATION	
GRDTRK.INS.EQTMNF 	S	*	G	*	IE----	EQUIPMENT MANUFACTURE	
GRDTRK.INS.SRUF 	S	*	G	*	IU----	SERVICE, RESEARCH, UTILITY FACILITY	
GRDTRK.INS.SRUF.TRF 	S	*	G	*	IUR---	TECHNOLOGICAL RESEARCH FACILITY	
GRDTRK.INS.SRUF.TCF 	S	*	G	*	IUT---	TELECOMMUNICATIONS FACILITY	
GRDTRK.INS.SRUF.EPF 	S	*	G	*	IUE---	ELECTRIC POWER FACILITY	
GRDTRK.INS.SRUF.EPF.NPT 	S	*	G	*	IUEN--	NUCLEAR PLANT	
GRDTRK.INS.SRUF.EPF.DAM 	S	*	G	*	IUED--	DAM	
GRDTRK.INS.SRUF.EPF.FOSF 	S	*	G	*	IUEF--	FOSSIL FUEL	
GRDTRK.INS.SRUF.PWS 	S	*	G	*	IUP---	PUBLIC WATER SERVICES	
GRDTRK.INS.MMF 	S	*	G	*	IM----	MILITARY MATERIEL FACILITY	N/A
GRDTRK.INS.MMF.NENY 	S	*	G	*	IMF---	NUCLEAR ENERGY	
GRDTRK.INS.MMF.NENY.ATMER 	S	*	G	*	IMFA--	ATOMIC ENERGY REACTOR	
GRDTRK.INS.MMF.NENY.NMP 	S	*	G	*	IMFP--	NUCLEAR MATERIAL PRODUCTION	
GRDTRK.INS.MMF.NENY.NMP.WPNGR 	S	*	G	*	IMFPW-	WEAPONS GRADE	
GRDTRK.INS.MMF.NENY.NMS 	S	*	G	*	IMFS--	NUCLEAR MATERIAL STORAGE	
GRDTRK.INS.MMF.APA 	S	*	G	*	IMA---	AIRCRAFT PRODUCTION & ASSEMBLY	
GRDTRK.INS.MMF.AMEP 	S	*	G	*	IME---	AMMUNITION AND EXPLOSIVES PRODUCTION	
GRDTRK.INS.MMF.AMTP 	S	*	G	*	IMG---	ARMAMENT PRODUCTION	
GRDTRK.INS.MMF.MILVP 	S	*	G	*	IMV---	MILITARY VEHICLE PRODUCTION	
GRDTRK.INS.MMF.ENGEP 	S	*	G	*	IMN---	ENGINEERING EQUIPMENT PRODUCTION	
GRDTRK.INS.MMF.ENGEP.BRG 	S	*	G	*	IMNB--	BRIDGE	
GRDTRK.INS.MMF.CBWP 	S	*	G	*	IMC---	CHEMICAL & BIOLOGICAL WARFARE PRODUCTION	
GRDTRK.INS.MMF.SHPCSN 	S	*	G	*	IMS---	SHIP CONSTRUCTION	
GRDTRK.INS.MMF.MSSP 	S	*	G	*	IMM---	MISSILE & SPACE SYSTEM PRODUCTION	
GRDTRK.INS.GOVLDR 	S	*	G	*	IG----	GOVERNMENT LEADERSHIP	
GRDTRK.INS.MILBF 	S	*	G	*	IB----	MILITARY BASE/FACILITY	
GRDTRK.INS.MILBF.AB 	S	*	G	*	IBA---	AIRPORT/AIRBASE	
GRDTRK.INS.MILBF.SP 	S	*	G	*	IBN---	SEAPORT/NAVAL BASE	
GRDTRK.INS.TSPF 	S	*	G	*	IT----	TRANSPORT FACILITY	
GRDTRK.INS.MEDF 	S	*	G	*	IX----	MEDICAL FACILITY	
GRDTRK.INS.MEDF.HSP 	S	*	G	*	IXH---	HOSPITAL	
