hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
SIGINT 	I	-	-	-	------	SIGNALS INTELLIGENCE	N/A
SIGINT.SPC 	I	*	P	*	------	SPACE TRACK	N/A
SIGINT.SPC.SIGINC 	I	*	P	*	S-----	SIGNAL INTERCEPT	N/A
SIGINT.SPC.SIGINC.COMM 	I	*	P	*	SC----	COMMUNICATIONS	N/A
SIGINT.SPC.SIGINC.COMM.SATDL 	I	*	P	*	SCD---	SATELLITE DOWNLINK 	
SIGINT.SPC.SIGINC.RAD 	I	*	P	*	SR----	RADAR	N/A
SIGINT.SPC.SIGINC.RAD.DATTMN 	I	*	P	*	SRD---	DATA TRANSMISSION 	
SIGINT.SPC.SIGINC.RAD.ERHSVL 	I	*	P	*	SRE---	EARTH SURVEILLANCE 	
SIGINT.SPC.SIGINC.RAD.IFF 	I	*	P	*	SRI---	IFF (TRANSPONDER) 	
SIGINT.SPC.SIGINC.RAD.MFN 	I	*	P	*	SRM---	MULTIFUNCTION 	
SIGINT.SPC.SIGINC.RAD.TGTAQ 	I	*	P	*	SRT---	TARGET ACQUISITION 	
SIGINT.SPC.SIGINC.RAD.SPC 	I	*	P	*	SRS---	SPACE 	
SIGINT.SPC.SIGINC.RAD.UNK 	I	*	P	*	SRU---	UNKNOWN 	
SIGINT.AIRTRK 	I	*	A	*	------	AIR TRACK	N/A
SIGINT.AIRTRK.SIGINC 	I	*	A	*	S-----	SIGNAL INTERCEPT	N/A
SIGINT.AIRTRK.SIGINC.COMM 	I	*	A	*	SC----	COMMUNICATIONS	N/A
SIGINT.AIRTRK.SIGINC.COMM.CELL 	I	*	A	*	SCC---	CELLULAR/MOBILE 	
SIGINT.AIRTRK.SIGINC.COMM.OLOS 	I	*	A	*	SCO---	OMNI-LINE OF SIGHT (LOS) 	
SIGINT.AIRTRK.SIGINC.COMM.PTPLOS 	I	*	A	*	SCP---	POINT-TO-POINT LINE OF SIGHT (LOS) 	
SIGINT.AIRTRK.SIGINC.COMM.SATUL 	I	*	A	*	SCS---	SATELLITE UPLINK 	
SIGINT.AIRTRK.SIGINC.RAD 	I	*	A	*	SR----	RADAR	N/A
SIGINT.AIRTRK.SIGINC.RAD.ABNINC 	I	*	A	*	SRAI--	AIRBORNE INTERCEPT 	
SIGINT.AIRTRK.SIGINC.RAD.ABNSB 	I	*	A	*	SRAS--	AIRBORNE SEARCH & BOMBING 	
SIGINT.AIRTRK.SIGINC.RAD.CTDINC 	I	*	A	*	SRC---	CONTROLLED INTERCEPT 	
SIGINT.AIRTRK.SIGINC.RAD.DATTMN 	I	*	A	*	SRD---	DATA TRANSMISSION 	
SIGINT.AIRTRK.SIGINC.RAD.EW 	I	*	A	*	SRE---	EARLY WARNING 	
SIGINT.AIRTRK.SIGINC.RAD.FIRCTL 	I	*	A	*	SRF---	FIRE CONTROL 	
SIGINT.AIRTRK.SIGINC.RAD.IFF 	I	*	A	*	SRI---	IFF (TRANSPONDER) 	
SIGINT.AIRTRK.SIGINC.RAD.MSLAQ 	I	*	A	*	SRMA--	MISSILE ACQUISITION 	
SIGINT.AIRTRK.SIGINC.RAD.MSLDL 	I	*	A	*	SRMD--	MISSILE DOWNLINK 	
SIGINT.AIRTRK.SIGINC.RAD.MSLGDN 	I	*	A	*	SRMG--	MISSILE GUIDANCE 	
SIGINT.AIRTRK.SIGINC.RAD.MSLTRK 	I	*	A	*	SRMT--	MISSILE TRACKING 	
SIGINT.AIRTRK.SIGINC.RAD.MFN 	I	*	A	*	SRMF--	MULTIFUNCTION 	
SIGINT.AIRTRK.SIGINC.RAD.TGTILL 	I	*	A	*	SRTI--	TARGET ILLUMINATOR 	
SIGINT.AIRTRK.SIGINC.RAD.TGTAQ 	I	*	A	*	SRTA--	TARGET ACQUISITION 	
SIGINT.AIRTRK.SIGINC.RAD.TGTTRK 	I	*	A	*	SRTT--	TARGET TRACKING 	
SIGINT.AIRTRK.SIGINC.RAD.UNK 	I	*	A	*	SRU---	UNKNOWN 	
SIGINT.GRDTRK 	I	*	G	*	------	GROUND TRACK	N/A
SIGINT.GRDTRK.SIGINC 	I	*	G	*	S-----	SIGNAL INTERCEPT	N/A
SIGINT.GRDTRK.SIGINC.COMM 	I	*	G	*	SC----	COMMUNICATIONS	N/A
SIGINT.GRDTRK.SIGINC.COMM.CELL 	I	*	G	*	SCC---	CELLULAR/MOBILE 	
SIGINT.GRDTRK.SIGINC.COMM.OLOS 	I	*	G	*	SCO---	OMNI-LINE OF SIGHT (LOS) 	
SIGINT.GRDTRK.SIGINC.COMM.PTPLOS 	I	*	G	*	SCP---	POINT-TO-POINT LINE OF SIGHT (LOS) 	
SIGINT.GRDTRK.SIGINC.COMM.SATUL 	I	*	G	*	SCS---	SATELLITE UPLINK 	
SIGINT.GRDTRK.SIGINC.COMM.TPSSCT 	I	*	G	*	SCT---	TROPOSPHERIC SCATTER 	
SIGINT.GRDTRK.SIGINC.RAD 	I	*	G	*	SR----	RADAR	N/A
SIGINT.GRDTRK.SIGINC.RAD.ATCTL 	I	*	G	*	SRAT--	AIR TRAFFIC CONTROL	
SIGINT.GRDTRK.SIGINC.RAD.AA/C 	I	*	G	*	SRAA--	ANTIAIRCRAFT 	
SIGINT.GRDTRK.SIGINC.RAD.BTFSVL 	I	*	G	*	SRB---	BATTLEFIELD SURVEILLANCE 	
