hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
SOFUNT 	S	*	F	*	------	SPECIAL OPERATIONS FORCES (SOF) UNIT	
SOFUNT.AVN 	S	*	F	*	A-----	SOF UNIT AVIATION	
SOFUNT.AVN.FIXD 	S	*	F	*	AF----	SOF UNIT FIXED WING	
SOFUNT.AVN.FIXD.ATK 	S	*	F	*	AFA---	SOF UNIT ATTACK	
SOFUNT.AVN.FIXD.RFE 	S	*	F	*	AFK---	SOF UNIT REFUEL	
SOFUNT.AVN.FIXD.UTY 	S	*	F	*	AFU---	SOF UNIT UTILITY	
SOFUNT.AVN.FIXD.UTY.LIT 	S	*	F	*	AFUL--	SOF UNIT UTILITY (LIGHT)	
SOFUNT.AVN.FIXD.UTY.MDM 	S	*	F	*	AFUM--	SOF UNIT UTILITY (MEDIUM)	
SOFUNT.AVN.FIXD.UTY.HVY 	S	*	F	*	AFUH--	SOF UNIT UTILITY (HEAVY)	
SOFUNT.AVN.VSTOL 	S	*	F	*	AV----	SOF UNIT V/STOL	
SOFUNT.AVN.ROT 	S	*	F	*	AH----	SOF UNIT ROTARY WING	
SOFUNT.AVN.ROT.CSAR 	S	*	F	*	AHH---	SOF UNIT COMBAT SEARCH AND RESCUE	
SOFUNT.AVN.ROT.ATK 	S	*	F	*	AHA---	SOF UNIT ATTACK	
SOFUNT.AVN.ROT.UTY 	S	*	F	*	AHU---	SOF UNIT UTILITY	
SOFUNT.AVN.ROT.UTY.LIT 	S	*	F	*	AHUL--	SOF UNIT UTILITY (LIGHT)	
SOFUNT.AVN.ROT.UTY.MDM 	S	*	F	*	AHUM--	SOF UNIT UTILITY (MEDIUM)	
SOFUNT.AVN.ROT.UTY.HVY 	S	*	F	*	AHUH--	SOF UNIT UTILITY (HEAVY)	
SOFUNT.NAV 	S	*	F	*	N-----	SOF UNIT SOF UNIT NAVAL	
SOFUNT.NAV.SEAL 	S	*	F	*	NS----	SOF UNIT SEAL	
SOFUNT.NAV.UH2DML 	S	*	F	*	NU----	SOF UNIT UNDERWATER DEMOLITION TEAM	
SOFUNT.NAV.SBT 	S	*	F	*	NB----	SOF UNIT SPECIAL BOAT	
SOFUNT.NAV.SSSNR 	S	*	F	*	NN----	SOF UNIT SPECIAL SSNR	
SOFUNT.GRD 	S	*	F	*	G-----	SOF UNIT GROUND	
SOFUNT.GRD.SOF 	S	*	F	*	GS----	SOF UNIT SPECIAL FORCES	
SOFUNT.GRD.RGR 	S	*	F	*	GR----	SOF UNIT RANGER	
SOFUNT.GRD.PSYOP 	S	*	F	*	GP----	SOF UNIT PSYCHOLOGICAL OPERATIONS (PSYOP)	
SOFUNT.GRD.PSYOP.FIXAVN 	S	*	F	*	GPA---	SOF UNIT FIXED WING AVIATION	
SOFUNT.GRD.CVLAFF 	S	*	F	*	GC----	SOF UNIT CIVIL AFFAIRS	
SOFUNT.SUP 	S	*	F	*	B-----	SOF UNIT SUPPORT	
