hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
SBSUF 	S	*	U	*	------	SUBSURFACE TRACK	
SBSUF.SUB 	S	*	U	*	S-----	SUBMARINE	
SBSUF.SUB.SURF 	S	*	U	*	SF----	SURFACED SUBMARINE	
SBSUF.SUB.BOTTMD 	S	*	U	*	SB----	BOTTOMED	
SBSUF.SUB.CRT 	S	*	U	*	SR----	CERTAIN SUBMARINE	
SBSUF.SUB.NONSUB 	S	*	U	*	SX----	NONSUBMARINE	
SBSUF.SUB.NPRN 	S	*	U	*	SN----	NUCLEAR PROPULSION	
SBSUF.SUB.NPRN.SURF 	S	*	U	*	SNF---	SURFACED NUCLEAR PROPULSION SUBMARINE	
SBSUF.SUB.NPRN.ATK 	S	*	U	*	SNA---	ATTACK SUBMARINE (SSN)	
SBSUF.SUB.NPRN.MSL 	S	*	U	*	SNM---	MISSILE SUBMARINE (TYPE UNKNOWN)	
SBSUF.SUB.NPRN.GDD 	S	*	U	*	SNG---	GUIDED MISSILE SUBMARINE (SSGN)	
SBSUF.SUB.NPRN.BLST 	S	*	U	*	SNB---	BALLISTIC MISSILE SUBMARINE (SSBN)	
SBSUF.SUB.CNVPRN 	S	*	U	*	SC----	CONVENTIONAL PROPULSION	
SBSUF.SUB.CNVPRN.SURF 	S	*	U	*	SCF---	SURFACED CONVENTIONAL PROPULSION SUBMARINE	
SBSUF.SUB.CNVPRN.ATK 	S	*	U	*	SCA---	ATTACK SUBMARINE (SS)	
SBSUF.SUB.CNVPRN.MSL 	S	*	U	*	SCM---	MISSILE SUBMARINE (TYPE UNKNOWN)	
SBSUF.SUB.CNVPRN.GDD 	S	*	U	*	SCG---	GUIDED MISSILE SUBMARINE (SSG)	
SBSUF.SUB.CNVPRN.BLST 	S	*	U	*	SCB---	BALLISTIC MISSILE SUBMARINE (SSB)	
SBSUF.SUB.OTH 	S	*	U	*	SO----	OTHER SUBMERSIBLE	
SBSUF.SUB.OTH.SURF 	S	*	U	*	SOF---	SURFACED OTHER SUBMERSIBLE	
SBSUF.SUB.UUV 	S	*	U	*	SU----	UNMANNED UNDERWATER VEHICLE (UUV)	
SBSUF.SUB.UUV.MNEW 	S	*	U	*	SUM---	MINE WARFARE SUBSURFACE DRONE	
SBSUF.SUB.UUV.ASBW 	S	*	U	*	SUS---	ANTISUBMARINE WARFARE SUBSURFACE DRONE	
SBSUF.SUB.UUV.ASUW 	S	*	U	*	SUN---	ANTISURFACE WARFARE SUBSURFACE DRONE	
SBSUF.SUB.POSS1 	S	*	U	*	S1----	POSSIBLE SUBMARINE 1	
SBSUF.SUB.POSS2 	S	*	U	*	S2----	POSSIBLE SUBMARINE 2	
SBSUF.SUB.POSS3 	S	*	U	*	S3----	POSSIBLE SUBMARINE 3	
SBSUF.SUB.POSS4 	S	*	U	*	S4----	POSSIBLE SUBMARINE 4	
SBSUF.SUB.PRBSUB 	S	*	U	*	SL----	PROBABLE SUBMARINE	
SBSUF.SUB.SNORKL 	S	*	U	*	SK----	SNORKELING SUBMARINE	
SBSUF.UH2WPN 	S	*	U	*	W-----	UNDERWATER WEAPON	
SBSUF.UH2WPN.TPD 	S	*	U	*	WT----	TORPEDO	
SBSUF.UH2WPN.SMNE 	S	*	U	*	WM----	SEA MINE	
SBSUF.UH2WPN.SMNE.NTRLZD 	S	*	U	*	WMD---	SEA MINE NEUTRALIZED	
SBSUF.UH2WPN.SMNE.SMG 	S	*	U	*	WMG---	SEA MINE (GROUND)	
SBSUF.UH2WPN.SMNE.SMG.NTRLZD 	S	*	U	*	WMGD--	SEA MINE (GROUND) NEUTRALIZED	
SBSUF.UH2WPN.SMNE.SMG.EXER 	S	*	U	*	WMGX--	GROUND (BOTTOM) EXERCISE MINE	
SBSUF.UH2WPN.SMNE.SMG.MILEC 	S	*	U	*	WMGE--	GROUND (BOTTOM) MINE-LIKE ECHO (MILEC)	
SBSUF.UH2WPN.SMNE.SMG.MILCO 	S	*	U	*	WMGC--	GROUND (BOTTOM) MINE-LIKE CONTACT (MILCO)	
SBSUF.UH2WPN.SMNE.SMG.NGREAC 	S	*	U	*	WMGR--	GROUND (BOTTOM) NEGATIVE REACQUISITION	
SBSUF.UH2WPN.SMNE.SMG.NMMLCO 	S	*	U	*	WMGO--	GROUND (BOTTOM) NON-MINE MINE-LIKE CONTACT	
SBSUF.UH2WPN.SMNE.SMM 	S	*	U	*	WMM---	SEA MINE (MOORED)	
SBSUF.UH2WPN.SMNE.SMM.NTRLZD 	S	*	U	*	WMMD--	SEA MINE (MOORED) NEUTRALIZED	
SBSUF.UH2WPN.SMNE.SMM.EXER 	S	*	U	*	WMMX--	MOORED EXERCISE MINE	
SBSUF.UH2WPN.SMNE.SMM.MILEC 	S	*	U	*	WMME--	MOORED MINE-LIKE ECHO	
SBSUF.UH2WPN.SMNE.SMM.MILCO 	S	*	U	*	WMMC--	MOORED MINE-LIKE CONTACT	
SBSUF.UH2WPN.SMNE.SMM.NGREAC 	S	*	U	*	WMMR--	MOORED NEGATIVE REACQUISITION	
SBSUF.UH2WPN.SMNE.SMM.NMMLCO 	S	*	U	*	WMMO--	MOORED NON-MINE MINE-LIKE OBJECT	
SBSUF.UH2WPN.SMNE.SMF 	S	*	U	*	WMF---	SEA MINE (FLOATING)	
SBSUF.UH2WPN.SMNE.SMF.NTRLZD 	S	*	U	*	WMFD--	SEA MINE (FLOATING) NEUTRALIZED	
SBSUF.UH2WPN.SMNE.SMF.EXER 	S	*	U	*	WMFX--	FLOATING EXERCISE MINE	
SBSUF.UH2WPN.SMNE.SMF.MILEC 	S	*	U	*	WMFE--	FLOATING MINE-LIKE ECHO (MILEC)	
SBSUF.UH2WPN.SMNE.SMF.MILCO 	S	*	U	*	WMFC--	FLOATING MINE-LIKE CONTACT (MILCO)	
SBSUF.UH2WPN.SMNE.SMF.NGREAC 	S	*	U	*	WMFR--	FLOATING NEGATIVE REACQUISITION	
SBSUF.UH2WPN.SMNE.SMF.NMMLCO 	S	*	U	*	WMFO--	FLOATING NON-MINE MINE-LIKE CONTACT	
SBSUF.UH2WPN.SMNE.SMOP 	S	*	U	*	WMO---	SEA MINE (OTHER POSITION)	
SBSUF.UH2WPN.SMNE.SMOP.NTRLZD 	S	*	U	*	WMOD--	SEA MINE (OTHER POSITION) NEUTRALIZED	
SBSUF.UH2WPN.SMNE.EXER 	S	*	U	*	WMX---	GENERAL EXERCISE MINE	
SBSUF.UH2WPN.SMNE.MILEC 	S	*	U	*	WME---	GENERAL MINE-LIKE ECHO (MILEC)	
SBSUF.UH2WPN.SMNE.ANCHOR 	S	*	U	*	WMA---	GENERAL MINE ANCHOR	
SBSUF.UH2WPN.SMNE.MILCO 	S	*	U	*	WMC---	GENERAL MINE-LIKE CONTACT (MILCO)	
SBSUF.UH2WPN.SMNE.NGREAC 	S	*	U	*	WMR---	GENERAL NEGATIVE REACQUISITION	
SBSUF.UH2WPN.SMNE.OBSTRC 	S	*	U	*	WMB---	GENERAL OBSTRUCTOR	
SBSUF.UH2WPN.SMNE.OBSTRC.NTRLZD 	S	*	U	*	WMBD--	GENERAL NEUTRALIZED OBSTRUCTOR	
SBSUF.UH2WPN.SMNE.NMMLCO 	S	*	U	*	WMN---	GENERAL NON-MINE MINE-LIKE OBJECT	
SBSUF.UH2WPN.SMNE.RISING 	S	*	U	*	WMS---	RISING MINE	
SBSUF.UH2WPN.SMNE.RISING.EXER 	S	*	U	*	WMSX--	RISING EXERCISE MINE	
SBSUF.UH2WPN.SMNE.RISING.NTRLZD 	S	*	U	*	WMSD--	RISING NEUTRALIZED MINE	
SBSUF.UH2DCY 	S	*	U	*	WD----	UNDERWATER DECOY	
SBSUF.UH2DCY.SMDCY 	S	*	U	*	WDM---	SEA MINE DECOY	
SBSUF.UH2DCY.SMDCY.GRND 	S	*	U	*	WDMG--	GROUND (BOTTOM) DECOY	
SBSUF.UH2DCY.SMDCY.MOORED 	S	*	U	*	WDMM--	MOORED DECOY	
SBSUF.NSUB 	S	*	U	*	N-----	NON-SUBMARINE	N/A
