geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
	TACGRP.TSK	G	*	T	*	------	TASKS	N/A
MULTIPOINT	TACGRP.TSK.BLK	G	*	T	*	B-----	BLOCK	
MULTIPOINT	TACGRP.TSK.BRH	G	*	T	*	H-----	BREACH	
MULTIPOINT	TACGRP.TSK.BYS	G	*	T	*	Y-----	BYPASS	
MULTIPOINT	TACGRP.TSK.CNZ	G	*	T	*	C-----	CANALIZE	
MULTIPOINT	TACGRP.TSK.CLR	G	*	T	*	X-----	CLEAR	
MULTIPOINT	TACGRP.TSK.CNT	G	*	T	*	J-----	CONTAIN	
MULTIPOINT	TACGRP.TSK.CATK	G	*	T	*	K-----	COUNTERATTACK (CATK)	
MULTIPOINT	TACGRP.TSK.CATK.CATKF	G	*	T	*	KF----	COUNTERATTACK BY FIRE	
MULTIPOINT	TACGRP.TSK.DLY	G	*	T	*	L-----	DELAY	
POINT	TACGRP.TSK.DSTY	G	*	T	*	D-----	DESTROY	
MULTIPOINT	TACGRP.TSK.DRT	G	*	T	*	T-----	DISRUPT	
MULTIPOINT	TACGRP.TSK.FIX	G	*	T	*	F-----	FIX	
MULTIPOINT	TACGRP.TSK.FLWASS	G	*	T	*	A-----	FOLLOW AND ASSUME	
MULTIPOINT	TACGRP.TSK.FLWASS.FLWSUP	G	*	T	*	AS----	FOLLOW AND SUPPORT	
POINT	TACGRP.TSK.ITDT	G	*	T	*	I-----	INTERDICT	
MULTIPOINT	TACGRP.TSK.ISL	G	*	T	*	E-----	ISOLATE	
POINT	TACGRP.TSK.NEUT	G	*	T	*	N-----	NEUTRALIZE	
MULTIPOINT	TACGRP.TSK.OCC	G	*	T	*	O-----	OCCUPY	
MULTIPOINT	TACGRP.TSK.PNE	G	*	T	*	P-----	PENETRATE	
MULTIPOINT	TACGRP.TSK.RIP	G	*	T	*	R-----	RELIEF IN PLACE (RIP)	
MULTIPOINT	TACGRP.TSK.RTN	G	*	T	*	Q-----	RETAIN	
MULTIPOINT	TACGRP.TSK.RTM	G	*	T	*	M-----	RETIREMENT	
MULTIPOINT	TACGRP.TSK.SCE	G	*	T	*	S-----	SECURE	
	TACGRP.TSK.SEC	G	-	T	*	U-----	SECURITY	N/A
MULTIPOINT	TACGRP.TSK.SEC.SCN	G	*	T	*	US----	SCREEN	
MULTIPOINT	TACGRP.TSK.SEC.GUD	G	*	T	*	UG----	GUARD	
MULTIPOINT	TACGRP.TSK.SEC.COV	G	*	T	*	UC----	COVER	
MULTIPOINT	TACGRP.TSK.SZE	G	*	T	*	Z-----	SEIZE	
MULTIPOINT	TACGRP.TSK.WDR	G	*	T	*	W-----	WITHDRAW	
MULTIPOINT	TACGRP.TSK.WDR.WDRUP	G	*	T	*	WP----	WITHDRAW UNDER PRESSURE	
	TACGRP.C2GM	G	*	G	*	------	COMMAND AND CONTROL AND GENERAL MANEUVER	N/A
	TACGRP.C2GM.GNL	G	*	G	*	G-----	GENERAL	N/A
	TACGRP.C2GM.GNL.PNT	G	*	G	*	GP----	POINTS	N/A
	TACGRP.C2GM.GNL.PNT.USW	G	*	G	*	GPU---	UNDER SEA WARFARE	N/A
	TACGRP.C2GM.GNL.PNT.USW.UH2	G	*	G	*	GPUU--	UNDERWATER	N/A
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.DTM	G	*	G	*	GPUUD-	DATUM	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.BCON	G	*	G	*	GPUUB-	BRIEF CONTACT	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.LCON	G	*	G	*	GPUUL-	LOST CONTACT	
POINT	TACGRP.C2GM.GNL.PNT.USW.UH2.SNK	G	*	G	*	GPUUS-	SINKER	
