Entity	Entity Type	Entity Subtype	Code	Remarks
Unspecified			000000	
Incident			110000	Reserved for hierarchical purposes.
	Criminal Activity Incident		110100	
		Arrest	110101	
		Arson	110102	
		Attempted Criminal Activity	110103	
		Drive-by Shooting	110104	
		Drug Related	110105	
		Extortion	110106	
		Graffiti	110107	
		Killing	110108	
		Poisoning	110109	
		Civil Rioting	110110	
		Booby Trap	110111	
		Home Eviction	110112	
		Black Marketing	110113	
		Vandalism/Loot/Ransack/Plunder	110114	
		Jail Break	110115	
		Robbery	110116	
		Theft	110117	
		Burglary	110118	
		Smuggling	110119	
		Rock Throwing	110120	
		Dead Body	110121	
		Sabotage	110122	
		Suspicious Activity	110123	
	Bomb/Bombing		110200	
		Bomb Threat	110201	
	IED Event		110300	
		IED Explosion	110301	
		Premature IED Explosion	110302	
		IED Cache	110303	
		IED Suicide Bomber	110304	
	Shooting		110400	
		Sniping	110401	
	Illegal Drug Operation		110500	
		Trafficking	110501	
		Illegal Drug Lab	110502	
	Explosion		110600	
		Grenade Explosion	110601	
		Incendiary Explosion	110602	
		Mine Explosion	110603	
		Mortar Fire Explosion	110604	
		Rocket Explosion	110605	
		Bomb Explosion	110606	
Civil Disturbance			120000	
	Demonstration		120100	
Operation			130000	Reserved for hierarchical purposes.
	Patrolling		130100	
	Military Information Support Operation (MISO)		130200	
		TV and Radio Propaganda	130201	
	Foraging/Searching		130300	
	Recruitment		130400	Reserved for hierarchical purposes.
		Willing	130401	
		Coerced/Impressed	130402	
	Mine Laying		130500	
	Spy		130600	
	Warrant Served		130700	
	Exfiltration		130800	
	Infiltration		130900	
	Meeting		131000	
		Polling Place/Election	131001	
	Raid on House		131100	
	Emergency Operation		131200	
		Emergency Collection Evacuation Point	131201	
		Emergency Food Distribution	131202	
		Emergency Incident Command Center	131203	
		Emergency Operations Center	131204	
		Emergency Public Information Center	131205	
		Emergency Shelter	131206	
		Emergency Staging Area	131207	
		Emergency Water Distribution Center	131208	
	Emergency Medical Operation		131300	
		EMT Station Location	131301	
		Health Department Facility	131302	
		Medical Facilities Outpatient	131303	
		Morgue	131304	
		Pharmacy	131305	
		Triage	131306	
	Fire Fighting Operation		131400	
		Fire Hydrant	131401	
		Fire Station	131402	
		Other Water Supply Location	131403	
	Law Enforcement Operation		131500	
		Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) (Department of Justice)	131501	
		Border Patrol	131502	
		Customs Service	131503	
		Drug Enforcement Administration (DEA)	131504	
		Department of Justice (DOJ)	131505	
		Federal Bureau of Investigation (FBI)	131506	
		Police	131507	
		Prison	131508	
		United States Secret Service(Treas) (USSS)	131509	
		Transportation Security Administration (TSA)	131510	
		Coast Guard	131511	
		US Marshals Service	131512	
		Internal Security Force	131513	
Fire Event			140000	
	Fire Origin		140100	
	Smoke		140200	
	Hot Spot		140300	
	Non-Residential Fire		140400	
	Residential Fire		140500	
	School Fire		140600	
	Special Needs Fire		140700	
	Wild Fire		140800	
Hazardous Materials			150000	Reserved for hierarchical purposes.
	Hazardous Materials Incident		150100	
		Chemical Agent	150101	
		Corrosive Material	150102	
		Hazardous when Wet	150103	
		Explosive Material	150104	
		Flammable Gas	150105	
		Flammable Liquid	150106	
		Flammable Solid	150107	
		Non-Flammable Gas	150108	
		Organic Peroxide	150109	
		Oxidizer	150110	
		Radioactive Material	150111	
		Spontaneously Combustible Material	150112	
		Toxic Gas	150113	
		Toxic Infectious Material	150114	
		Unexploded Ordnance	150115	
Transportation Incident			160000	Reserved for hierarchical purposes.
	Air		160100	
	Marine		160200	
	Rail		160300	
	Vehicle		160400	
	Wheeled Vehicle Explosion		160500	
Natural Event			170000	Reserved for hierarchical purposes.
	Geologic		170100	Reserved for hierarchical purposes.
		Aftershock	170101	
		Avalanche	170102	
		Earthquake Epicenter	170103	
		Landslide	170104	
		Subsidence	170105	
		Volcanic Eruption	170106	
		Volcanic Threat	170107	
		Cave Entrance	170108	
	Hydro-Meteorological		170200	Reserved for hierarchical purposes.
		Drought	170201	
		Flood	170202	
		Tsunami	170203	
	Infestation		170300	Reserved for hierarchical purposes.
		Bird	170301	
		Insect	170302	
		Microbial	170303	
		Reptile	170304	
		Rodent	170305	
Individual			180000	Reserved for hierarchical purposes.
	Religious Leader		180100	
	Speaker		180200	
