Entity	Entity Type	Entity Subtype	Code	Remarks
Unspecified			000000	
Weapon/Weapon System			110000	Reserved for hierarchical purposes.
	Rifle		110100	
		Single Shot Rifle	110101	
		Semiautomatic Rifle	110102	
		Automatic Rifle	110103	
	Machine Gun		110200	
		Light 	110201	
		Medium 	110202	
		Heavy	110203	
	Grenade Launcher		110300	
		Light	110301	
		Medium	110302	
		Heavy	110303	
	Flame Thrower		110400	
	Air Defense Gun		110500	
		Light	110501	
		Medium	110502	
		Heavy	110503	
	Antitank Gun		110600	
		Light	110601	
		Medium	110602	
		Heavy	110603	
	Direct Fire Gun		110700	
		Light	110701	
		Medium	110702	
		Heavy	110703	
	Recoilless Gun		110800	
		Light	110801	
		Medium	110802	
		Heavy	110803	
	Howitzer		110900	
		Light	110901	
		Medium	110902	
		Heavy	110903	
	Missile Launcher		111000	
		Light	111001	
		Medium	111002	
		Heavy	111003	
	Air Defense Missile Launcher		111100	
		Light	111101	
		Light, Light Transporter-Launcher and Radar (TLAR)	111102	
		Light, Light Tactical Landing Approach Radar (TELAR)	111103	
		Medium	111104	
		Medium, TLAR	111105	
		Medium, TELAR	111106	
		Heavy	111107	
		Heavy, TLAR	111108	
		Heavy, TELAR	111109	
	Antitank Missile Launcher		111200	
		Light	111201	
		Medium	111202	
		Heavy	111203	
	Surface-to-Surface Missile Launcher		111300	
		Light	111301	
		Medium	111302	
		Heavy	111303	
	Mortar		111400	
		Light	111401	
		Medium	111402	
		Heavy	111403	
	Single Rocket Launcher		111500	
		Light	111501	
		Medium	111502	
		Heavy	111503	
	Multiple Rocket Launcher		111600	
		Light	111601	
		Medium	111602	
		Heavy	111603	
	Antitank Rocket Launcher		111700	
		Light	111701	
		Medium	111702	
		Heavy	111703	
	Nonlethal Weapon		111800	
	Taser		111900	
	Water Cannon		112000	
Vehicle			120000	Reserved for hierarchical purposes.
	Armored		120100	
		Armored Fighting Vehicle	120101	
		Armored Fighting Vehicle Command and Control	120102	
		Armored Personnel Carrier	120103	
		Armored Personnel Carrier Ambulance	120104	
		Armored Protected Vehicle	120105	
		Armored Protected Vehicle Recovery	120106	
		Armored Protected Vehicle Medical Evacuation	120107	
		Armored Personnel Carrier, Recovery	120108	
		Combat Service Support Vehicle	120109	
		Light Wheeled Armored Vehicle	120110	
		Light Armor Reconnaissance	120111	
	Tank		120200	
		Light	120201	
		Medium	120202	
		Heavy	120203	
	Tank Recovery Vehicle		120300	
		Light	120301	
		Medium	120302	
		Heavy	120303	
Engineer Vehicle and Equipment			130000	
	Bridge		130100	
	Bridge Mounted on Utility Vehicle		130200	
	Fixed Bridge		130300	
	Floating Bridge		130400	
	Folding Girder Bridge		130500	
	Hollow Deck Bridge		130600	
	Drill		130700	
		Drill Mounted on Utility Vehicle	130701	
	Earthmover		130800	
		Multifunctional Earthmover/Digger	130801	
	Mine Clearing Equipment		130900	
		Trailer Mounted	130901	
		Mine Clearing Equipment on Tank Chassis	130902	
		Assault Breacher Vehicle (ABV) with Combat Dozer Blade	130903	
		Medium Capability Equipment 	130904	
		Heavy Capability Equipment	130905	
	Mine Laying Equipment		131000	
		Mine Laying Equipment on Utility Vehicle	131001	
		Armored Carrier with Volcano	131002	
		Truck Mounted with Volcano	131003	
	Dozer		131100	
		Dozer, Armored	131101	
	Armored Assault		131200	
	Armored Engineer Recon Vehicle (AERV)		131300	
	Backhoe		131400	
	Construction Vehicle		131500	
	Ferry Transporter		131600	
Utility Vehicle			140000	Reserved for hierarchical purposes.
	Vehicle (Generic)		140100	
	Medical		140200	
	Medical Evacuation		140300	
	Mobile Emergency Physician		140400	
	Bus		140500	
	Semi–Trailer and Truck		140600	
		Light	140601	
		Medium	140602	
		Heavy	140603	
	Limited Cross Country Truck		140700	
	Cross Country Truck		140800	
	Petroleum, Oil and Lubricant		140900	
	Water		141000	
	Amphibious Utility Wheeled Vehicle		141100	
	Tow Truck		141200	
		Light	141201	
		Heavy	141202	
Train			150000	Reserved for hierarchical purposes.
	Locomotive		150100	
	Railcar		150200	
Civilian Vehicle			160000	Reserved for hierarchical purposes.
	Automobile		160100	
		Compact	160101	
		Midsize	160102	
		Sedan	160103	
	Open-Bed Truck		160200	
		Pickup	160201	
		Small	160202	
		Large	160203	
	Multiple Passenger Vehicle		160300	
		Van	160301	
		Small Bus	160302	
		Large Bus	160303	
	Utility Vehicle		160400	
		Sport Utility Vehicle (SUV)	160401	
		Small Box Truck	160402	
		Large Box Truck	160403	
	Jeep Type Vehicle		160500	
		Small/Light	160501	
		Medium	160502	
		Large/Heavy	160503	
	Tractor Trailer Truck with Box		160600	
		Small/Light	160601	
		Medium	160602	
		Large/Heavy	160603	
	Tractor Trailer Truck with Flatbed Trailer		160700	
		Small/Light	160701	
		Medium	160702	
		Large/Heavy	160703	
	Known Insurgent Vehicle		160800	
	Drug Vehicle		160900	
Law Enforcement			170000	
	Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) (Department of Justice)		170100	
	Border Patrol		170200	
	Customs Service		170300	
	Drug Enforcement Administration (DEA)		170400	
	Department of Justice (DOJ)		170500	
	Federal Bureau of Investigation (FBI)		170600	
	Police		170700	
	United States Secret Service (Treas) (USSS)		170800	
	Transportation Security Administration (TSA)		170900	
	Coast Guard		171000	
	US Marshals Service		171100	
Pack Animals			180000	
Missile Support			190000	
	Transloader		190100	
	Transporter		190200	
	Crane/Loading Device		190300	
	Propellant Transporter		190400	
	Warhead Transporter		190500	
Other Equipment			200000	Reserved for hierarchical purposes.
	Antennae		200100	
	Bomb		200200	
	Booby Trap		200300	
