Entity	Entity Type	Entity Subtype	Code	Remarks
Unspecified			000000	
Command and Control			110000	Reserved for Amplifier field {AA} only. 
	Broadcast Transmitter Antennae		110100	
	Civil Affairs 		110200	
	Civil–Military Cooperation 		110300	
	Information Operations		110400	
	Liaison		110500	
	Military Information Support Operations (MISO)		110600	
		Broadcast Transmitter Antennae	110601	
	Radio		110700	
	Radio Relay		110800	
	Radio Teletype Center		110900	
	Signal		111000	
		Radio	111001	
		Radio Relay	111002	
		Teletype	111003	
		Tactical Satellite	111004	
		Video Imagery (Combat Camera)	111005	
	Tactical Satellite		111100	
	Video Imagery (Combat Camera)		111200	
	Space		111300	
	Special Troops		111400	
Movement and Maneuver			120000	Reserved for hierarchical purposes.
	Air Assault with Organic Lift		120100	
	Air Traffic Services/Airfield Operations		120200	
	{Reserved for future use}		120300	
	Antitank/Antiarmor		120400	
		Armored	120401	
		Motorized	120402	
	Armor/Armored/Mechanized/Self–Propelled/ Tracked		120500	
		Reconnaissance/Cavalry/Scout	120501	
		Amphibious	120502	
	Army Aviation/Aviation Rotary Wing		120600	
		Reconnaissance	120601	
	Aviation Composite		120700	
	Aviation Fixed Wing		120800	
		Reconnaissance	120801	
	Combat		120900	
	Combined Arms		121000	
	Infantry		121100	
		Amphibious	121101	
		Armored/Mechanized/Tracked	121102	
		Main Gun System 	121103	
		Motorized 	121104	
		Infantry Fighting Vehicle	121105	
	Observer		121200	
	Reconnaissance/Cavalry/Scout		121300	
		Reconnaissance and Surveillance	121301	
		Marine	121302	
		Motorized	121303	
	Sea Air Land (SEAL)		121400	
	Sniper		121500	
	Surveillance		121600	
	Special Forces		121700	
	Special Operations Forces (SOF)		121800	
		Fixed Wing MISO	121801	
		Ground	121802	
		Special Boat	121803	
		Special SSNR	121804	
		Underwater Demolition Team	121805	
	Unmanned Aerial Systems		121900	
	Ranger		122000	
Fires			130000	Reserved for hierarchical purposes.
	Air Defense		130100	
		Main Gun System	130101	
		Missile	130102	
		Air and Missile Defense	130103	
	Air/Land Naval Gunfire Liaison		130200	
	Field Artillery		130300	
		Self–propelled	130301	
		Target Acquisition	130302	
	Field Artillery Observer		130400	
	Joint Fire Support		130500	
	Meteorological		130600	
	Missile		130700	
	Mortar		130800	
		Armored/Mechanized/Tracked	130801	
		Self-Propelled Wheeled	130802	
		Towed	130803	
	Survey		130900	
Protection			140000	Reserved for hierarchical purposes.
	Chemical Biological Radiological Nuclear Defense		140100	
		Mechanized	140101	
		Motorized	140102	
		Reconnaissance	140103	
		Reconnaissance Armored	140104	
		Reconnaissance Equipped	140105	
		Chemical, Biological, Radiological, Nuclear, and High-Yield Explosives	140106	
	Combat Support (Maneuver Enhancement)		140200	
	Criminal Investigation Division		140300	
	Diving		140400	
	Dog		140500	
	Drilling		140600	
	Engineer		140700	
		Mechanized	140701	
		Motorized	140702	
		Reconnaissance	140703	
	Explosive Ordnance Disposal (EOD)		140800	
	Field Camp Construction		140900	
	Fire Fighting/Fire Protection		141000	
	Geospatial Support/Geospatial Information Support		141100	
	Military Police		141200	
	Mine		141300	
	Mine Clearing		141400	
	Mine Launching		141500	
	Mine Laying		141600	
	Security		141700	
