First Modifier	Category	Code	Remarks
Unspecified		00	
Antisubmarine Warfare	Mission Area	01	
Auxiliary	Mission Area	02	Used with SUBMARINE entity type only.
Command and Control	Mission Area	03	Used with SUBMARINE entity type only.
Intelligence, Surveillance, Reconnaissance	Mission Area	04	
Mine Countermeasures	Mission Area	05	
Mine Warfare	Mission Area	06	
Surface Warfare	Mission Area	07	
Attack	Weapons Capability	08	Used with SUBMARINE entity type only.
Ballistic Missile 	Weapons Capability	09	Used with SUBMARINE entity type only.
Guided Missile 	Weapons Capability	10	Used with SUBMARINE entity type only.
Other Guided Missile	Weapons Capability	11	Used with SUBMARINE entity type only.
Special Operations Forces (SOF)	Asset Capability	12	Used with SUBMARINE entity type only.
Possible Submarine Low 1 	Submarine Confidence	13	Used with SUBMARINE entity type only.
Possible Submarine Low 2	Submarine Confidence	14	Used with SUBMARINE entity type only.
Possible Submarine High 3	Submarine Confidence	15	Used with SUBMARINE entity type only.
Possible Submarine High 4	Submarine Confidence	16	Used with SUBMARINE entity type only.
Probable Submarine	Submarine Confidence	17	Used with SUBMARINE entity type only.
Certain Submarine	Submarine Confidence	18	Used with SUBMARINE entity type only.
Anti-torpedo Torpedo	Weapons Capability	19	Used with SUBMARINE entity type only.
Hijacking/Hijacked	Crime	20	
Hijacker	Crime	21	
Cyberspace	Capability	22	
{Reserved for future use}		23-99	
Version Extension Flag		-	
