Entity	Entity Type	Entity Subtype	Code	Remarks
Unspecified			000000	
Military			110000	
	Submarine		110100	
		Submarine, Surfaced	110101	
		Submarine, Snorkeling	110102	
		Submarine, Bottomed	110103	
	Other Submersible		110200	
	Nonsubmarine		110300	
	Autonomous Underwater Vehicle (AUV)/Unmanned Underwater Vehicle (UUV)		110400	
	Diver		110500	
Civilian			120000	
	Submersible		120100	
	Autonomous Underwater Vehicle (AUV)/ Unmanned Underwater Vehicle (UUV)		120200	
	Diver		120300	
Weapon			130000	
	Torpedo		130100	
	Improvised Explosive Device (IED)		130200	Used with hostile standard identity only.
	Decoy		130300	
Echo Tracker Classifier (ETC) / Possible Contact (POSCON)			140000	All ETC/POSCON tracks shall have a pending standard identity frame.
Fused Track			150000	All fused tracks shall have a pending standard identity frame.
Manual Track			160000	
