Entity	Entity Type	Entity Subtype	Code	Remarks
Unspecified			000000	
Military			110000	Reserved for hierarchical purposes.
Military Combatant			120000	Reserved for hierarchical purposes.
	Carrier		120100	
	Surface Combatant, Line		120200	
		Battleship	120201	
		Cruiser	120202	
		Destroyer	120203	
		Frigate	120204	
		Corvette	120205	
		Littoral Combatant Ship	120206	
	Amphibious Warfare Ship		120300	
		Amphibious Command Ship	120301	
		Amphibious Assault, Non-specified	120302	
		Amphibious Assault Ship, General	120303	
		Amphibious Assault Ship, Multipurpose	120304	
		Amphibious Assault Ship, Helicopter	120305	
		Amphibious Transport Dock	120306	
		Landing Ship	120307	
		Landing Craft	120308	
	Mine Warfare Ship		120400	
		Mine Layer	120401	
		Mine Sweeper	120402	
		Mine Sweeper, Drone	120403	
		Mine Hunter	120404	
		Mine Countermeasures	120405	
		Mine Countermeasures, Support Ship	120406	
	Patrol Boat		120500	
		Patrol Craft, Submarine Chaser/Escort, General	120501	
		Patrol Ship, General	120502	
	Decoy		120600	
	Unmanned Surface Water Vehicle (USV)		120700	
	Speedboat		120800	
		Rigid–Hull Inflatable Boat (RHIB)	120801	
	Jet Ski		120900	
	Navy Task Organization		121000	
		Navy Task Element	121001	
		Navy Task Force	121002	
		Navy Task Group	121003	
		Navy Task Unit	121004	
		Convoy	121005	
	Sea-Based X-Band Radar		121100	
Military Non Combatant			130000	Reserved for hierarchical purposes.
	Auxiliary Ship		130100	
		Ammunition Ship	130101	
		Naval Stores Ship	130102	
		Auxiliary Flag Ship	130103	
		Intelligence Collector	130104	
		Oceanographic Research Ship	130105	
		Survey Ship	130106	
		Hospital Ship	130107	
		Naval Cargo Ship	130108	
		Combat Support Ship, Fast	130109	
		Oiler, Replenishment	130110	
		Repair Ship	130111	
		Submarine Tender	130112	
		Tug, Ocean Going	130113	
	Service Craft/Yard		130200	
		Barge, not Self–Propelled	130201	
		Barge, Self–Propelled	130202	
		Tug, Harbor	130203	
		Launch	130204	
Civilian			140000	
	Merchant Ship		140100	
		Cargo, General	140101	
		Container Ship	140102	
		Dredge	140103	
		Roll On/Roll Off	140104	
		Ferry	140105	
		Heavy Lift	140106	
		Hovercraft	140107	
		Lash Carrier (with Barges)	140108	
		Oiler/Tanker	140109	
		Passenger	140110	
		Tug, Ocean Going	140111	
		Tow	140112	
		Transport Ship, Hazardous Material	140113	
		Junk/Dhow	140114	
		Barge, not Self–Propelled	140115	
		Hospital Ship	140116	
	Fishing Vessel		140200	
		Drifter	140201	
		Trawler	140202	
		Dredger	140203	
	Law Enforcement Vessel		140300	
	Leisure Craft, Sailing		140400	
	Leisure Craft, Motorized		140500	
		Rigid–Hull Inflatable Boat (RHIB)	140501	
		Speedboat	140502	
	Jet Ski		140600	
	Unmanned Surface Water Vehicle (USV)		140700	
Own Ship			150000	
Fused Track			160000	All fused tracks shall have a pending standard identity frame.
Manual Track			170000	
